size,DistMark,year
2,1187,2006
1,1157,2006
1,1148,2006
6,1151,2006
2,1080,2006
1,1079,2006
1,1075,2006
1,1064,2006
1,1060,2006
3,1047,2006
1,1038,2006
2,1035,2006
2,1018,2006
5,1010,2006
1,1009,2006
1,1008,2006
1,1007,2006
1,1006,2006
2,1006,2006
2,1005,2006
2,1003,2006
2,1003,2006
1,998,2006
1,997,2006
1,995,2006
1,992,2006
1,983,2006
2,970,2006
3,966,2006
2,959,2006
1,953,2006
3,951,2006
2,932,2006
5,919,2006
2,919,2006
1,917,2006
2,916,2006
1,916,2006
3,915,2006
2,915,2006
2,915,2006
1,912,2006
1,903,2006
1,900,2006
2,899,2006
1,896,2006
2,894,2006
1,892,2006
1,891,2006
1,889,2006
2,888,2006
2,888,2006
1,886,2006
3,885,2006
1,884,2006
1,884,2006
2,884,2006
1,883,2006
1,883,2006
2,882,2006
1,882,2006
1,881,2006
2,880,2006
1,878,2006
1,872,2006
1,866,2006
2,865,2006
1,862,2006
2,827,2006
2,821,2006
1,820,2006
1,816,2006
2,802,2006
4,801,2006
1,799,2006
2,795,2006
1,793,2006
2,790,2006
2,788,2006
1,774,2006
3,758,2006
1,757,2006
1,755,2006
1,754,2006
5,753,2006
2,744,2006
1,744,2006
1,743,2006
1,742,2006
1,742,2006
1,740,2006
1,730,2006
1,729,2006
3,713,2006
1,712,2006
1,706,2006
2,661,2006
1,653,2006
2,651,2006
1,641,2006
3,515,2017
1,420,2017
1,399,2017
3,376,2017
3,371,2017
3,369,2017
2,367,2017
2,358,2017
2,327,2017
6,324,2017
1,51,2017
2,166,2017
4,206,2017
2,274,2017
1,285,2017
2,352,2017
2,354,2017
1,357,2017
3,363,2017
4,367,2017
5,367,2017
3,370,2017
7,378,2017
3,467,2017
1,467,2017
1,510,2017
2,533,2017
1,764,2017
1,765,2017
1,765,2017
1,765,2017
2,765,2017
1,766,2017
1,778,2017
1,796,2017
2,815,2017
3,861,2017
2,864,2017
1,879,2017
1,883,2017
1,906,2017
4,913,2017
2,918,2017
1,918,2017
2,942,2017
1,981,2017
