distMark,water,crop,urban,year
0,9.99997405,0.00000000,41.99980017,2003
1,9.49995749,0.00000000,36.49982950,2003
2,9.99997405,0.00000000,35.49979152,2003
3,9.99997405,0.00000000,34.49989669,2003
4,10.99997412,0.00000000,34.49992572,2003
5,10.99997420,0.00000000,35.49982861,2003
6,10.50003139,0.00000000,37.74991917,2003
7,10.25000738,0.00000000,39.74982207,2003
8,9.24997224,0.00000000,40.99995899,2003
9,8.50000521,0.00000000,38.25000292,2003
10,8.75000508,0.00000000,34.49999457,2003
11,8.75002173,0.00000000,31.49998000,2003
12,9.25000503,0.00000000,26.24994906,2003
13,9.50000506,0.00000000,22.74993170,2003
14,10.25002163,0.00000000,19.24998689,2003
15,10.25000504,0.00000000,17.75001017,2003
16,10.50000511,0.00000000,15.49997431,2003
17,11.00002151,0.00000000,14.24996939,2003
18,11.25000503,0.00000000,14.25006420,2003
19,11.74999355,0.00000000,12.49996880,2003
20,12.00000509,0.00000000,10.75009064,2003
21,11.75003329,0.00000000,10.49998845,2003
22,12.25003315,0.00000000,11.49998997,2003
23,12.25003318,0.25000000,12.75000155,2003
24,12.25004474,0.25000000,13.25000150,2003
25,12.50002808,0.50000000,13.25000150,2003
26,12.00002800,2.00001641,13.25000150,2003
27,12.25001131,4.49996459,13.25000150,2003
28,12.00002779,6.50003967,13.25000150,2003
29,12.00001112,9.00006379,13.25000150,2003
30,12.50001633,11.50007095,13.00000150,2003
31,12.25001651,15.25016958,12.75000155,2003
32,12.25001121,19.50009897,11.00003050,2003
33,12.00000482,23.25019722,9.50002826,2003
34,12.49998835,27.75019673,7.00004475,2003
35,14.99985029,30.75001300,4.75002810,2003
36,17.49999788,30.75003436,3.00002895,2003
37,17.74994662,28.74997282,3.75000006,2003
38,17.49998831,26.99994546,6.50001685,2003
39,16.99998828,26.99992144,7.25016902,2003
40,15.99998826,29.00002398,7.25016902,2003
41,15.24997676,32.50018105,7.25016902,2003
42,15.24997669,37.25081183,7.25016902,2003
43,15.49997665,40.75004028,7.25016902,2003
44,17.24999868,43.00004571,7.25016902,2003
45,18.49991590,49.00001214,7.25016902,2003
46,18.49991577,58.25014365,7.25016902,2003
47,18.49991592,68.00054906,7.00018052,2003
48,15.49985903,76.25040747,5.25016427,2003
49,12.74992766,82.50043973,3.50011246,2003
50,12.74993928,88.00106263,2.50004497,2003
51,12.74997282,90.00098190,2.50004497,2003
52,13.24997282,88.00042431,2.50005544,2003
53,13.99990587,85.75032703,2.50005543,2003
54,14.99992157,82.25049493,2.75011036,2003
55,15.74992159,80.00063867,2.75007168,2003
56,14.49997824,80.00042380,3.00009366,2003
57,13.24997817,80.00067634,3.25007171,2003
58,13.74996678,77.49994908,2.25000004,2003
59,13.49997831,74.74972864,1.50000004,2003
60,15.00009081,71.24959246,1.25000004,2003
61,15.75029487,67.99962612,1.25000004,2003
62,17.25050843,62.99993436,1.25000004,2003
63,19.00046264,58.75006855,1.25000004,2003
64,20.75033667,54.00001608,1.25000004,2003
65,21.25029147,49.50018312,1.25000004,2003
66,21.25031378,46.50048545,1.25000004,2003
67,21.00036383,50.25078918,1.25000004,2003
68,20.25038009,52.25007844,1.25000004,2003
69,20.25040271,58.25002187,0.74998321,2003
70,20.00036384,64.50003017,0.50000001,2003
71,19.75043095,70.50106743,0.50000001,2003
72,21.00037532,74.74955338,0.50000001,2003
73,23.00039762,78.75018325,0.50000001,2003
74,25.00056807,78.49972806,0.50000001,2003
