distMark,water,crop,urban,year
0,9.999974051,0.000000000,42.999811783,2016
1,9.499957488,0.000000000,37.249852774,2016
2,9.999974051,0.000000000,36.499814772,2016
3,9.999974051,0.000000000,35.499929505,2016
4,10.999974123,0.000000000,35.499912941,2016
5,10.999974203,0.000000000,36.499815838,2016
6,10.500031395,0.000000000,38.749906396,2016
7,10.250007385,0.000000000,40.749809297,2016
8,9.249972243,0.000000000,42.499939327,2016
9,8.500005211,0.000000000,41.750011580,2016
10,8.750005082,0.000000000,40.249976474,2016
11,8.750021731,0.000000000,38.249950034,2016
12,9.250005027,0.000000000,34.499935666,2016
13,9.500005062,0.000000000,31.000029228,2016
14,10.250021633,0.000000000,27.500032023,2016
15,10.250005041,0.000000000,25.500067864,2016
16,10.500005107,0.000000000,23.250015460,2016
17,11.000021506,0.000000000,21.750038723,2016
18,11.250005033,0.000000000,21.500238240,2016
19,11.749993548,0.000000000,20.250385765,2016
20,12.000005094,0.000000000,16.751168281,2016
21,11.750033292,0.250000000,14.500112237,2016
22,12.250033151,0.500000000,14.500155987,2016
23,12.250033185,0.999999936,15.250108988,2016
24,12.250044743,1.249999917,16.250108785,2016
25,12.500028078,0.999999916,16.250108785,2016
26,12.000028001,1.499999917,16.250108785,2016
27,12.250011312,3.500028133,16.250108785,2016
28,12.000027793,5.999971578,16.250108785,2016
29,12.000011121,10.249933368,16.000108785,2016
30,12.500016334,13.999926796,15.750108784,2016
31,12.250016506,19.000153263,15.500108834,2016
32,12.250011206,23.750053457,13.000039895,2016
33,12.000004819,28.249978561,10.999987732,2016
34,12.499988355,31.749945478,8.499987672,2016
35,14.999850285,33.499917303,5.999987637,2016
36,17.250049760,31.999912177,4.249988486,2016
37,17.500050311,28.499968659,4.749924752,2016
38,17.250092005,24.000069097,7.249946790,2016
39,16.750091975,20.750069259,10.250045619,2016
40,15.750091951,17.250144111,12.250097372,2016
41,15.000080454,18.250162475,13.250074394,2016
42,15.000080382,24.750201103,13.250074394,2016
43,15.250080348,28.249985108,13.250074394,2016
44,17.000102374,34.499997719,13.250074394,2016
45,18.250019600,42.500059082,13.250074394,2016
46,18.250019470,52.999794153,13.250074394,2016
47,18.250019613,64.500127605,10.000102323,2016
48,15.249962728,73.000135954,6.750097355,2016
49,12.500031283,77.500036326,4.750056782,2016
50,12.500042907,82.501080079,3.500027897,2016
51,12.500076448,85.500472020,3.750028027,2016
52,13.000076451,84.999893074,4.500016489,2016
53,13.750009493,83.750022895,5.250016522,2016
54,14.750025194,80.249928811,6.500000034,2016
55,15.499973400,78.750071508,6.499961359,2016
56,14.499978235,77.750079603,7.499904948,2016
57,13.249978172,75.750359424,7.749921678,2016
58,13.749966778,75.250088787,6.749849986,2016
59,13.499978310,75.499960436,4.749849906,2016
60,15.000090808,73.749697401,2.749955096,2016
61,15.500195124,74.749724976,1.499971841,2016
62,17.000491613,69.999564352,1.499971841,2016
63,18.750445827,68.249427394,1.499971841,2016
64,20.500319859,64.249609290,1.499971841,2016
65,21.000274647,60.499759580,1.499971841,2016
66,21.000296975,56.000196618,1.499971841,2016
67,20.750347018,58.250406329,1.499971841,2016
68,20.000363271,60.250227713,1.499971841,2016
69,20.000385900,65.999666496,0.749983208,2016
70,19.750347026,70.999514427,0.500000015,2016
71,19.500414141,77.000443939,0.500000015,2016
72,20.750358511,81.249311366,0.500000015,2016
73,22.750380804,84.999685904,0.500000015,2016
74,24.750551253,85.249271738,0.500000015,2016
75,25.000276822,84.749652490,0.500000015,2016
76,25.000197755,85.749050416,1.000000015,2016
77,24.250052690,85.249241400,1.999972784,2016
78,23.499634710,85.499429578,2.499939811,2016
79,22.749573124,83.249928420,2.749670373,2016
80,22.499511955,80.749546009,2.999670483,2016
81,22.249523612,79.999847318,3.249670484,2016
82,23.249503587,80.250467100,3.499670485,2016
83,23.499446678,80.250391527,4.749670622,2016
84,23.749386257,78.499991188,6.749709144,2016
85,24.249397920,73.500205795,7.749693545,2016
86,23.999380252,71.999968410,8.999693810,2016
87,22.749284284,71.500019277,10.999682277,2016
88,21.749546240,72.000156928,13.999653831,2016
89,20.499769883,68.250388214,16.499720669,2016
90,19.500073589,66.500329743,19.999661746,2016
91,18.500038032,64.500929811,21.499550122,2016
92,17.250153859,60.250997935,20.999550189,2016
93,16.000159816,54.500777628,20.999550192,2016
94,15.500209018,51.750722233,21.249550198,2016
95,14.500219578,48.250940051,21.249550198,2016
96,15.750214541,48.750699341,21.249550198,2016
97,16.750329093,53.000948299,20.999550545,2016
98,16.500398165,59.000303343,20.999550803,2016
99,16.750302011,65.250245548,19.499584787,2016
100,16.250357336,72.499873100,15.999366504,2016
101,15.749775657,78.250584471,12.749778891,2016
102,15.249925299,82.250938180,11.500019633,2016
103,15.000040248,88.000724221,9.250095102,2016
104,15.250109437,90.500300232,7.250106613,2016
105,16.000138177,93.250120183,6.750106612,2016
106,15.750017041,99.000217075,6.500106606,2016
107,14.999921480,102.750188119,6.000106601,2016
108,14.750004985,107.250947692,5.750106601,2016
109,15.250005198,109.500716796,5.250100226,2016
110,14.499948118,115.000353143,3.250028247,2016
111,14.999959561,116.749499436,1.750028243,2016
112,15.500032477,118.999958641,1.750028243,2016
113,15.250038651,120.500456637,1.750028243,2016
114,15.000010554,119.500815697,1.750028243,2016
115,15.250038752,119.249398194,0.750016719,2016
116,15.000038927,118.999734093,0.000000000,2016
117,15.250050425,119.250574937,0.000000000,2016
118,14.750050539,113.999383814,0.000000000,2016
119,14.500050527,112.749921145,0.000000000,2016
120,14.250078736,112.250685463,0.000000000,2016
121,13.750050424,110.250714996,0.500000001,2016
122,13.749965049,108.749450535,0.500000001,2016
123,13.249867340,108.500284683,0.500000001,2016
124,13.499690547,106.749935885,0.500000001,2016
125,12.499672902,108.000972507,0.500000001,2016
126,11.749638971,106.500563963,0.500000001,2016
127,11.499713762,105.500804617,0.500000001,2016
128,10.999633946,103.500426091,0.500000001,2016
129,10.999605302,100.000223914,1.000000003,2016
130,10.499610659,95.250926350,1.000000003,2016
131,10.749639286,91.000046470,1.500000003,2016
132,11.499507486,85.499590996,1.999994688,2016
133,11.999444045,80.249754625,2.749977919,2016
134,12.749593153,76.749300879,2.999977925,2016
135,13.749701748,73.999785388,2.749977925,2016
136,14.499793407,69.999658371,2.999977925,2016
137,15.249788056,66.750318299,4.999977879,2016
138,16.249771286,64.750601688,9.999898978,2016
139,17.499656168,61.000822022,14.999790679,2016
140,18.999369646,56.750574702,20.749755734,2016
141,20.749581728,51.750195794,26.249734040,2016
