distMark,water,crop,urban,year
0,9.999974051,0.000000000,42.249795376,2005
1,9.499957488,0.000000000,36.749824701,2005
2,9.999974051,0.000000000,35.749786722,2005
3,9.999974051,0.000000000,34.499896693,2005
4,10.999974123,0.000000000,34.499925717,2005
5,10.999974203,0.000000000,35.499828614,2005
6,10.500031395,0.000000000,37.749919172,2005
7,10.250007385,0.000000000,39.749822074,2005
8,9.249972243,0.000000000,40.999958989,2005
9,8.500005211,0.000000000,38.250002924,2005
10,8.750005082,0.000000000,34.749994574,2005
11,8.750021731,0.000000000,31.749980084,2005
12,9.250005027,0.000000000,26.749949148,2005
13,9.500005062,0.000000000,23.249931790,2005
14,10.250021633,0.000000000,19.749986978,2005
15,10.250005041,0.000000000,18.250010256,2005
16,10.500005107,0.000000000,15.999974399,2005
17,11.000021506,0.000000000,14.749969482,2005
18,11.250005033,0.000000000,14.500064202,2005
19,11.749993548,0.000000000,12.499968801,2005
20,12.000005094,0.000000000,10.750090642,2005
21,11.750033292,0.000000000,10.499988448,2005
22,12.250033151,0.000000000,11.499989973,2005
23,12.250033185,0.250000000,12.750001550,2005
24,12.250044743,0.500000000,13.250001496,2005
25,12.500028078,0.750000000,13.250001496,2005
26,12.000028001,2.000016650,13.250001496,2005
27,12.250011312,4.499964490,13.250001496,2005
28,12.000027793,6.500039605,13.250001496,2005
29,12.000011121,10.000068709,13.250001496,2005
30,12.500016334,12.000114233,13.000001496,2005
31,12.250016506,16.500191168,12.750001546,2005
32,12.250011206,20.500137243,11.000030503,2005
33,12.000004819,24.250180974,9.500028262,2005
34,12.499988355,28.500163728,7.000044748,2005
35,14.999850285,31.500051560,4.750028105,2005
36,17.499997877,31.999976621,3.000028949,2005
37,17.749946615,29.499944511,4.249924747,2005
38,17.499988310,27.249933964,7.000044035,2005
39,16.999988279,25.499971189,7.750196206,2005
40,15.999988255,25.000001563,8.000196210,2005
41,15.249976758,27.500213868,8.000196210,2005
42,15.249976686,32.500952137,8.000196210,2005
43,15.499976652,37.750279133,8.000196210,2005
44,17.249998678,41.750135564,8.000196210,2005
45,18.499915904,48.999967438,8.000196210,2005
46,18.499915774,58.500093481,8.000196210,2005
47,18.499915917,70.000512412,7.750207710,2005
48,15.499859032,79.250403764,5.500147542,2005
49,12.749927656,85.500429749,3.750095739,2005
50,12.749939281,91.501036087,2.750028254,2005
51,12.749972822,93.750910471,2.750028254,2005
52,13.249972825,91.750259561,2.750038716,2005
53,13.999905867,90.250339559,3.000038716,2005
54,14.999921569,86.000346086,3.250093631,2005
55,15.749921589,83.750643475,3.250054956,2005
56,14.499978235,82.250451061,3.500054979,2005
57,13.249978172,82.250659935,3.500071709,2005
58,13.749966778,80.749882108,2.500000044,2005
59,13.499978310,80.999701059,1.750000044,2005
60,15.000090808,78.749581533,1.250000040,2005
61,15.500195124,76.749614971,1.250000040,2005
62,17.000491613,71.249710037,1.250000040,2005
63,18.750445827,66.499910109,1.250000040,2005
64,20.500319859,61.499905210,1.250000040,2005
65,21.000274647,56.500094047,1.250000040,2005
66,21.000296975,53.000919728,1.250000040,2005
67,20.750347018,55.750844817,1.250000040,2005
68,20.000363271,57.500294720,1.250000040,2005
69,20.000385900,63.750067747,0.749983208,2005
70,19.750347026,69.250069176,0.500000015,2005
71,19.500414141,75.001141753,0.500000015,2005
72,20.750358511,78.999567770,0.500000015,2005
73,22.750380804,82.250152698,0.500000015,2005
74,24.750551253,81.999589386,0.500000015,2005
75,25.000276822,81.499426623,0.500000015,2005
76,25.000197755,82.749423532,0.500000015,2005
77,24.250052690,82.749436414,0.500000015,2005
78,23.499634710,82.249607080,0.500000015,2005
79,22.749573124,81.250137394,0.250000000,2005
80,22.499511955,78.249605252,0.000000000,2005
81,22.249523612,76.750290861,0.250000000,2005
82,23.249503587,78.501013074,0.500000001,2005
83,23.499446678,81.250591574,1.000000003,2005
84,23.749386257,81.250706910,2.749988452,2005
85,24.249397920,78.250290483,3.749994822,2005
86,23.999380252,76.750397259,4.249994944,2005
