distMark,water,crop,urban,year
0,9.999974051,0.000000000,42.999811783,2012
1,9.499957488,0.000000000,37.249852774,2012
2,9.999974051,0.000000000,36.499814772,2012
3,9.999974051,0.000000000,35.499929505,2012
4,10.999974123,0.000000000,35.499912941,2012
5,10.999974203,0.000000000,36.499815838,2012
6,10.500031395,0.000000000,38.749906396,2012
7,10.250007385,0.000000000,40.749809297,2012
8,9.249972243,0.000000000,42.499939327,2012
9,8.500005211,0.000000000,41.500006597,2012
10,8.750005082,0.000000000,39.499964702,2012
11,8.750021731,0.000000000,37.499921850,2012
12,9.250005027,0.000000000,33.749907480,2012
13,9.500005062,0.000000000,30.250001044,2012
14,10.250021633,0.000000000,26.750003839,2012
15,10.250005041,0.000000000,24.750039681,2012
16,10.500005107,0.000000000,22.499987277,2012
17,11.000021506,0.000000000,21.000010540,2012
18,11.250005033,0.000000000,20.750210057,2012
19,11.749993548,0.000000000,18.750287991,2012
20,12.000005094,0.000000000,15.001070504,2012
21,11.750033292,0.250000000,12.750014461,2012
22,12.250033151,0.250000000,13.250091347,2012
23,12.250033185,0.250000000,14.250039397,2012
24,12.250044743,0.250000000,15.250039194,2012
25,12.500028078,0.000000000,15.250039194,2012
26,12.000028001,0.500000000,15.250039194,2012
27,12.250011312,2.999971677,15.250039194,2012
28,12.000027793,5.249984504,15.250039194,2012
29,12.000011121,8.749961758,15.250039194,2012
30,12.500016334,11.999938467,15.000039194,2012
31,12.250016506,17.000384525,14.750039244,2012
32,12.250011206,21.500016719,12.750039954,2012
33,12.000004819,27.500011763,10.999987732,2012
34,12.499988355,31.750040236,8.499987672,2012
35,14.999850285,33.999918454,5.999987637,2012
36,17.250049760,33.499896659,4.249988486,2012
37,17.500050311,30.249986936,4.749924752,2012
38,17.250092005,25.999947660,7.249946790,2012
39,16.750091975,22.249974660,9.750074366,2012
40,15.750091951,19.250100108,11.750097370,2012
41,15.000080454,19.250118584,12.750074392,2012
42,15.000080382,23.500085148,12.750074392,2012
43,15.250080348,27.000016560,12.750074392,2012
44,17.000102374,34.749980070,12.750074392,2012
45,18.250019600,44.499996980,12.750074392,2012
46,18.250019470,55.500114154,12.750074392,2012
47,18.250019613,68.250257318,10.000102323,2012
48,15.249962728,77.500224632,6.750097355,2012
49,12.500031283,82.750039566,4.750056782,2012
50,12.500042907,88.001252628,3.500027897,2012
51,12.500076448,89.750643635,3.750028027,2012
52,13.000076451,87.750122081,4.500016489,2012
53,13.750009493,85.000140659,5.250016522,2012
