distMark,water,crop,urban,year
0,9.999974051,0.000000000,42.999811783,2011
1,9.499957488,0.000000000,37.249852774,2011
2,9.999974051,0.000000000,36.499814772,2011
3,9.999974051,0.000000000,35.499929505,2011
4,10.999974123,0.000000000,35.499912941,2011
5,10.999974203,0.000000000,36.499815838,2011
6,10.500031395,0.000000000,38.749906396,2011
7,10.250007385,0.000000000,40.749809297,2011
8,9.249972243,0.000000000,42.499939327,2011
9,8.500005211,0.000000000,41.000006541,2011
10,8.750005082,0.000000000,38.499976278,2011
11,8.750021731,0.000000000,36.499961836,2011
12,9.250005027,0.000000000,32.749947347,2011
13,9.500005062,0.000000000,29.250041195,2011
14,10.250021633,0.000000000,25.750043794,2011
15,10.250005041,0.000000000,23.750079774,2011
16,10.500005107,0.000000000,21.500027298,2011
17,11.000021506,0.000000000,20.000050554,2011
18,11.250005033,0.000000000,19.750145150,2011
19,11.749993548,0.000000000,17.750299547,2011
20,12.000005094,0.000000000,14.001082060,2011
21,11.750033292,0.250000000,11.750026009,2011
22,12.250033151,0.250000000,12.500063100,2011
23,12.250033185,0.250000000,13.750011150,2011
24,12.250044743,0.250000000,15.000010947,2011
25,12.500028078,0.000000000,15.000010947,2011
26,12.000028001,0.500000000,15.000010947,2011
27,12.250011312,2.750000004,15.000010947,2011
28,12.000027793,5.000034646,15.000010947,2011
29,12.000011121,8.500011900,15.000010947,2011
30,12.500016334,11.999977063,14.750010947,2011
31,12.250016506,17.000434658,14.500010997,2011
32,12.250011206,21.750159151,12.750039954,2011
33,12.000004819,28.000124136,10.999987732,2011
34,12.499988355,32.250135818,8.499987672,2011
35,14.999850285,34.500014041,5.999987637,2011
36,17.499997877,33.999992246,4.249988486,2011
37,17.749946615,30.750129468,4.749924752,2011
38,17.499988310,26.749997728,7.249946790,2011
39,16.999988279,23.000024733,9.750074366,2011
40,15.999988255,20.000150126,11.250080630,2011
41,15.249976758,19.750096384,12.250069133,2011
42,15.249976686,24.000096652,12.250069133,2011
43,15.499976652,27.750067646,12.250069133,2011
44,17.249998678,36.500020617,12.250069133,2011
45,18.499915904,46.250042778,12.250069133,2011
46,18.499915774,57.250160123,12.250069133,2011
47,18.499915917,69.750302865,9.750085616,2011
48,15.499859032,78.750309191,6.500108851,2011
49,12.749927656,84.000205861,4.500056716,2011
50,12.749939281,89.001378553,3.250027896,2011
51,12.749972822,90.500758104,3.500027961,2011
52,13.249972825,88.000260499,4.249999782,2011
53,13.999905867,84.250321079,4.999999816,2011
54,14.999921569,79.250150330,6.249983283,2011
55,15.749921589,77.500511350,6.249944608,2011
56,14.499978235,76.250289425,6.749927888,2011
57,13.249978172,73.750455150,6.999944618,2011
58,13.749966778,72.000138925,5.999872926,2011
59,13.499978310,71.499935257,3.999944574,2011
60,15.000090808,68.999817777,2.499983294,2011
61,15.500195124,68.749836244,1.250000040,2011
62,17.000491613,65.249577797,1.250000040,2011
63,18.750445827,61.499515107,1.250000040,2011
64,20.500319859,56.249632335,1.250000040,2011
65,21.000274647,51.999737400,1.250000040,2011
66,21.000296975,48.500213754,1.250000040,2011
67,20.750347018,51.500379225,1.250000040,2011
68,20.000363271,52.999706774,1.250000040,2011
69,20.000385900,58.999610758,0.749983208,2011
70,19.750347026,64.249597193,0.500000015,2011
71,19.500414141,72.250663076,0.500000015,2011
72,20.750358511,77.499230529,0.500000015,2011
73,22.750380804,81.999665978,0.500000015,2011
74,24.750551253,81.999213471,0.500000015,2011
75,25.000276822,81.749544612,0.500000015,2011
76,25.000197755,83.249124075,0.500000015,2011
77,24.250052690,83.499371315,1.249983275,2011
78,23.499634710,83.749750125,1.499961296,2011
79,22.749573124,82.250099311,1.249961281,2011
80,22.499511955,80.749739010,0.999961281,2011
81,22.249523612,80.500407131,1.249961281,2011
82,23.249503587,81.250912790,1.499961282,2011
83,23.499446678,83.250896433,2.249961289,2011
84,23.749386257,83.250904936,3.999999950,2011
85,24.249397920,80.001214184,4.999984333,2011
86,23.999380252,78.500499951,5.749972814,2011
87,22.749284284,77.250289377,7.749967633,2011
88,21.749546240,77.750402924,10.499900842,2011
89,20.499769883,74.500307809,13.249748845,2011
90,19.500073589,72.000307207,16.749580206,2011
91,18.500038032,70.000845558,17.749436221,2011
92,17.250153859,66.000987050,17.999436221,2011
93,16.000159816,62.250990734,17.999436224,2011
94,15.500209018,59.000604689,17.999436224,2011
95,14.500219578,55.750890975,17.999436224,2011
96,15.750214541,53.500756819,18.249436224,2011
97,16.750329093,56.501023516,18.249453031,2011
98,16.500398165,61.250343722,18.249392795,2011
99,16.750302011,66.750255220,17.499547380,2011
100,16.250357336,73.749861627,14.499367645,2011
101,15.749775657,79.500669820,11.749729961,2011
102,15.249925299,83.250971610,10.499970700,2011
103,15.000040248,88.250709366,8.250051335,2011
104,15.250109437,91.250257679,6.500079553,2011
105,16.000138177,94.000111798,6.250079553,2011
106,15.750017041,99.250226934,6.000079550,2011
107,14.999921480,102.500214910,5.500079548,2011
108,14.750004985,106.000149069,5.500079548,2011
109,15.250005198,107.000783087,5.000073173,2011
110,14.499948118,111.750379906,3.000001194,2011
111,14.999959561,112.999447298,1.750028243,2011
112,15.500032477,115.749826817,1.750028243,2011
113,15.250038651,117.250416725,1.750028243,2011
114,15.000010554,117.500672779,1.750028243,2011
115,15.250038752,119.249305686,0.750016719,2011
116,15.000038927,120.499726467,0.000000000,2011
117,15.250050425,122.000120667,0.000000000,2011
118,14.750050539,120.498928200,0.000000000,2011
119,14.500050527,119.999633791,0.000000000,2011
120,14.250078736,120.000453310,0.000000000,2011
121,13.750050424,117.250453909,0.250000000,2011
122,13.749965049,115.749128235,0.250000000,2011
123,13.249867340,115.499945276,0.250000000,2011
124,13.499690547,113.749709449,0.250000000,2011
125,12.499672902,115.750514095,0.250000000,2011
126,11.749638971,115.000191553,0.250000000,2011
127,11.499713762,116.750155657,0.250000000,2011
128,10.999633946,116.750034259,0.250000000,2011
129,10.999605302,115.749734625,0.250000000,2011
130,10.499610659,112.501016185,0.250000000,2011
131,10.749639286,108.999417351,0.250000000,2011
132,11.499507486,104.749472863,0.250000000,2011
133,11.999444045,100.749389490,0.250000000,2011
134,12.749593153,95.999059764,0.250000000,2011
135,13.749701748,93.749510994,0.000000000,2011
136,14.499793407,89.249420969,0.250000000,2011
137,15.249788056,86.750357570,1.749999914,2011
138,16.249771286,82.000448953,6.499937822,2011
139,17.499656168,77.500704112,10.999846105,2011
140,18.999369646,72.250355154,16.999742907,2011
141,20.749581728,66.250141384,22.749789468,2011
142,21.999650187,57.750218806,30.250128678,2011
143,22.249530476,49.000225222,38.749692065,2011
144,22.749713719,44.499803533,47.249823026,2011
145,22.499794065,39.750349462,54.999692829,2011
146,20.999708251,37.000499410,59.999771804,2011
147,20.749793817,36.500188424,63.499662683,2011
148,20.249828389,35.249776341,64.999429577,2011
149,20.249872644,32.500067549,67.749550275,2011
150,21.999701006,33.000090044,68.249623193,2011
151,22.249931486,32.750119206,66.999789020,2011
152,23.000102611,32.500062262,66.250166099,2011
153,22.999988690,32.500085479,67.000136392,2011
154,21.999954006,30.750124858,62.750515081,2011
155,19.750078251,32.500101952,57.250124856,2011
156,18.250357190,37.749876961,50.000193302,2011
157,17.500529326,46.499750011,43.750273439,2011
158,18.000540282,55.999603764,34.250222356,2011
159,17.501136793,67.999481166,25.500199136,2011
160,17.505029049,78.249522237,17.750382867,2011
161,17.754934211,85.249632052,12.750090867,2011
162,18.004961985,91.999281319,7.500050920,2011
163,17.505006311,97.750022439,4.749999966,2011
164,18.255011492,102.499476785,3.499904037,2011
165,18.754937749,100.749719120,2.249904044,2011
166,19.254950389,104.499648905,2.249904044,2011
167,19.503638381,105.249809798,2.249904044,2011
168,19.501041019,105.500069153,2.249904044,2011
169,20.000383079,102.999496603,2.249904044,2011
170,20.250266066,103.750008994,2.249904044,2011
171,19.999992795,103.001052555,2.249904044,2011
172,19.999931746,104.749821014,2.499904044,2011
173,19.749965395,103.749623139,2.999904000,2011
174,20.250015961,103.999915634,3.249943272,2011
175,20.749932137,103.500071203,4.999892186,2011
176,19.999972649,99.749518315,7.249994397,2011
177,19.749892937,98.999401574,8.499983081,2011
178,17.749893179,98.999540259,8.499983081,2011
179,15.249790796,100.999808903,9.999966139,2011
180,13.499836110,103.999843073,10.749988853,2011
181,12.249875948,106.249796874,11.249960557,2011
182,11.499989266,108.499920790,11.499943527,2011
183,11.500301262,109.500295734,11.499943527,2011
184,11.250511712,110.749704261,11.499943527,2011
185,11.250437640,110.250154129,11.499943527,2011
186,11.500477393,112.999615732,10.249971860,2011
187,10.500460233,116.749370756,7.499971855,2011
188,9.500426012,120.999363982,5.500051406,2011
189,9.000426338,122.999320455,4.749983209,2011
190,9.250556870,123.750477823,3.999960498,2011
191,9.750607989,123.749763643,3.749960498,2011
192,9.500591115,121.999706458,3.749960498,2011
193,9.750250123,122.750162194,4.499937542,2011
194,9.750090936,119.248848473,7.999999565,2011
195,10.249982951,116.249606300,9.249994453,2011
196,10.499886483,114.749579673,9.000005798,2011
197,11.249960297,111.749352257,9.250005742,2011
198,11.749983025,113.499687041,9.000005840,2011
199,12.499960251,113.250576844,8.500005746,2011
200,13.500016941,114.999803338,8.250005746,2011
201,14.250016918,112.500148922,8.250005746,2011
202,15.500011396,110.000796079,8.250005746,2011
203,16.499977432,108.250858866,8.250005746,2011
204,17.000005753,109.500269530,8.250005746,2011
205,16.500016861,111.749922233,7.250005740,2011
206,16.500016861,116.750052387,4.750005734,2011
207,16.749948815,120.750280649,2.000000002,2011
208,17.499948865,123.000271489,0.000000000,2011
209,17.499999957,122.249950420,1.000028337,2011
210,17.249977247,121.499566294,1.000028337,2011
211,17.249920522,120.750528032,1.000028337,2011
212,17.499937551,118.749799197,1.000028337,2011
213,18.499925738,118.249809936,1.000028337,2011
214,19.499840228,115.999841771,1.000028337,2011
215,20.499891434,116.500006524,1.000028337,2011
216,20.749891493,116.750005954,1.000028337,2011
217,19.749817943,116.749808637,1.000028337,2011
218,19.499806580,116.500160731,1.000028337,2011
219,19.999806706,118.000512656,1.000028337,2011
220,20.999801164,116.250618456,1.000028337,2011
221,22.249801689,117.500660605,0.750000074,2011
222,22.749801171,116.750239917,0.000000000,2011
223,23.499801173,117.750080808,0.000000000,2011
224,24.499874814,117.750057143,0.000000000,2011
225,27.499780031,113.750114017,0.000000000,2011
226,30.999949539,108.250074820,0.250000000,2011
227,31.750006661,103.000241792,0.750000001,2011
228,30.500138091,98.000201850,4.499948712,2011
229,28.750137960,94.249893080,8.249988263,2011
230,26.500104423,88.250155867,12.499971103,2011
231,24.250104417,85.250098169,15.999995292,2011
232,22.750104413,83.250070989,16.500003002,2011
233,21.750104503,78.499823928,16.250008938,2011
234,21.750132860,82.749528215,13.749957578,2011
235,24.000115575,83.499838665,11.999957484,2011
236,25.500242072,80.000205917,11.749957483,2011
237,26.000173620,78.250587977,11.749957483,2011
238,28.000146064,77.001245579,11.500025007,2011
239,30.000202539,78.500414014,9.999966527,2011
240,30.000010368,81.000738772,7.499943514,2011
241,27.249790919,85.000506667,4.249994978,2011
242,25.749757349,86.500410496,1.750000058,2011
243,21.499718073,94.500483219,1.000000057,2011
244,20.499681954,97.250694909,0.750000057,2011
245,21.249732188,95.250103552,0.500000057,2011
246,23.750131045,93.250873898,0.250000000,2011
247,27.000479879,90.499791236,0.000000000,2011
248,28.000870983,88.750762119,0.000000000,2011
249,28.499468344,89.499874751,0.000000000,2011
250,27.249428158,90.249342783,0.000000000,2011
251,26.999399932,91.249466305,0.000000000,2011
252,27.249517616,91.248804433,0.000000000,2011
253,26.999680163,93.498431765,0.000000000,2011
254,24.749860356,96.998736906,0.000000000,2011
255,24.499883130,99.499253661,0.000000000,2011
256,24.249916281,99.249400892,0.000000000,2011
257,24.750862465,99.998954481,0.000000000,2011
258,25.500146537,101.499446022,0.250000000,2011
259,23.500269552,103.000253483,1.250006000,2011
260,22.250011380,104.999981203,1.250006000,2011
261,21.249915629,108.500249728,1.250006000,2011
262,19.249815160,108.750206304,1.250006000,2011
263,17.249820422,112.499820844,1.250006000,2011
264,18.249878085,111.999929932,1.250006000,2011
265,18.749832017,106.249994343,1.250006000,2011
266,19.749820492,100.750148736,1.250006000,2011
267,21.499803663,94.749782566,1.250006000,2011
268,23.249837250,91.000023626,1.250006000,2011
269,25.499921651,88.500382460,1.250006000,2011
270,27.999982816,84.250742177,1.250006000,2011
271,25.500011163,90.000603099,1.250006000,2011
272,25.249994028,96.750428217,1.250006000,2011
273,23.749965767,102.750388759,0.999977630,2011
274,20.999977350,107.499758906,0.000000000,2011
275,20.250161741,105.749902858,0.000000000,2011
276,19.750100037,104.999989131,0.000000000,2011
277,20.000173505,104.749908741,0.000000000,2011
278,20.250285692,100.250063426,0.000000000,2011
279,24.000139809,95.249945519,0.000000000,2011
280,26.499529160,88.499800756,0.000000000,2011
281,24.999572994,82.249621548,0.000000000,2011
282,24.999540460,78.500158488,0.000000000,2011
283,22.999372186,78.750125144,0.000000000,2011
284,22.749366794,74.499985819,0.000000000,2011
285,22.499361459,73.500179659,0.000000000,2011
286,21.999338837,74.750164606,0.000000000,2011
287,20.249333032,76.000307511,0.000000000,2011
288,18.749091027,78.250429738,0.000000000,2011
289,16.999199622,83.500369652,0.000000000,2011
290,15.999270018,88.750026624,0.000000000,2011
291,16.496263707,92.000397828,0.000000000,2011
292,16.245082258,95.250839158,0.000000000,2011
293,17.741777949,97.000912200,0.000000000,2011
294,18.741857732,98.500253953,0.000000000,2011
295,18.491783795,102.500618096,0.500000001,2011
296,16.241789141,103.750197494,3.499932055,2011
297,15.991806347,103.000268683,6.999887142,2011
298,16.241800376,98.250924592,11.749887229,2011
299,17.743667237,95.500125665,15.499891996,2011
300,17.496393361,94.499362499,15.999936801,2011
301,17.998826207,94.499868862,15.999936801,2011
302,17.749114335,93.749707477,15.999936801,2011
303,18.499419159,90.999873831,15.999936801,2011
304,19.749553258,90.499801532,15.249954253,2011
305,20.749840906,90.750683701,13.749902308,2011
306,21.749898549,94.250270389,10.500084271,2011
307,21.749937750,98.500242673,5.749988813,2011
308,19.999828887,102.500412183,1.749977785,2011
309,19.999948585,108.250315568,0.000000000,2011
310,18.499920888,106.750411107,0.000000000,2011
311,18.499926257,104.500103993,0.000000000,2011
312,20.750128264,98.500167944,0.000000000,2011
313,23.499949990,94.999799749,0.000000000,2011
314,24.499840358,92.500739466,0.000000000,2011
315,23.499860341,91.000809204,0.000000000,2011
316,22.249980712,90.750546704,0.000000000,2011
317,21.499747939,94.500702875,0.000000000,2011
318,19.999855404,94.750225002,0.000000000,2011
319,18.999918919,97.250298367,0.000000000,2011
320,17.999890328,98.000449038,0.000000000,2011
321,16.749936743,97.750368828,0.000000000,2011
322,16.499892019,97.000395718,0.000000000,2011
323,14.999884779,95.750254552,0.000000000,2011
324,14.749931161,99.250378758,0.000000000,2011
325,11.500017041,102.500157790,0.000000000,2011
326,11.250005795,107.500294029,0.500000001,2011
327,11.750017133,110.000175049,0.500000001,2011
328,11.749767107,108.250082569,0.500000001,2011
329,12.499895206,107.750222282,0.500000001,2011
330,13.249976367,109.249257021,0.500000001,2011
331,14.000045725,111.750002969,0.500000001,2011
332,15.500096880,112.500454760,0.500000001,2011
333,16.750097003,111.249963006,0.500000001,2011
334,20.250092907,105.499984574,0.750000002,2011
335,20.500111567,100.749621593,1.000000002,2011
336,20.000070879,96.749702502,1.499999958,2011
337,20.250064682,94.749740268,1.499999958,2011
338,23.000075670,88.750027136,1.499999958,2011
339,28.999809665,81.749886379,1.499999958,2011
340,34.749937783,74.499994472,1.750017301,2011
341,35.499833433,68.249899426,2.249988889,2011
342,32.999811159,65.750070413,2.249988889,2011
343,24.500180644,70.000021866,2.249988889,2011
344,20.000045315,77.749958966,2.249988889,2011
345,18.999952770,85.750337451,2.249988889,2011
346,20.250024308,88.499928012,2.000000004,2011
347,22.750174226,91.249800727,0.750000002,2011
348,23.500174251,92.249481225,0.000000000,2011
349,20.000186320,97.499495636,0.000000000,2011
350,19.750170400,100.249423081,0.000000000,2011
351,25.499792940,93.749487151,0.000000000,2011
352,28.999557908,84.999539890,0.000000000,2011
353,29.749518403,80.999476413,0.000000000,2011
354,27.749672828,82.499505514,0.000000000,2011
355,26.000173101,86.499244834,0.000000000,2011
356,26.250114927,86.249414799,0.000000000,2011
357,26.000155867,82.749654385,0.000000000,2011
358,26.749839714,78.499767494,0.749999991,2011
359,26.250127218,75.249583925,0.999999899,2011
360,24.000006523,72.499758179,0.999999899,2011
361,26.000031520,66.749601189,0.999999899,2011
362,32.750044165,61.749761186,1.249999900,2011
363,38.249723841,54.249774066,4.999963591,2011
364,42.999822814,49.249834746,10.750069676,2011
365,44.500149311,44.999770652,20.750150216,2011
366,42.250145174,45.999727545,25.499904062,2011
367,40.000142547,51.499862564,20.749795749,2011
368,37.249998000,56.999734414,13.249789095,2011
369,34.749703180,64.749917808,7.249765401,2011
370,30.500037273,71.749779540,3.249941105,2011
371,28.249995604,77.249414132,0.749999991,2011
372,26.750039299,81.249746891,0.000000000,2011
373,26.500021815,84.249882165,0.000000000,2011
374,28.749829623,82.000296606,0.000000000,2011
375,31.500143484,73.750381698,2.499770292,2011
376,33.750389890,65.250655070,7.249811253,2011
377,37.750664425,58.000370381,10.499748176,2011
378,38.500755021,53.250331972,14.749737129,2011
379,41.750887583,46.250233966,20.249703207,2011
380,42.000982446,40.000556574,26.249772409,2011
381,37.250824723,40.250489809,26.999661729,2011
382,35.750731564,40.500402469,22.748868569,2011
383,36.250585991,40.250271798,18.999614746,2011
384,33.500596879,40.250142705,14.499311269,2011
385,33.250625657,39.749950551,10.999709589,2011
386,33.250736592,34.999768015,8.749765508,2011
387,32.750410952,34.750120385,6.999916776,2011
388,26.250779852,38.500201656,5.249993149,2011
389,24.501029267,41.499876263,3.500040400,2011
390,25.501074161,42.249770525,2.250045147,2011
391,27.000925425,42.249884622,1.750045096,2011
392,27.750745394,44.000042385,1.500045095,2011
393,29.000634711,47.249943017,1.250045095,2011
394,29.750667464,47.749568290,1.250045095,2011
395,29.500674099,45.499823403,1.250045095,2011
396,28.500679230,44.499983975,1.250045095,2011
397,29.250713846,44.749990454,1.250045095,2011
398,31.000777260,44.000081155,1.250045095,2011
399,31.250705877,42.749976331,1.000028406,2011
400,31.000483806,40.250134499,0.000000000,2011
401,30.500128238,37.999988193,0.000000000,2011
402,30.500103978,33.750022748,0.000000000,2011
403,31.500295302,30.999988117,0.250000000,2011
404,31.000204317,28.250029409,1.250040443,2011
405,28.750133337,24.500082114,1.250040443,2011
406,27.749947853,22.500216149,1.250040443,2011
407,28.250158368,18.499905767,1.250040443,2011
408,29.250355230,17.000028771,1.250040443,2011
409,32.251080691,14.249758962,1.250040443,2011
410,35.253274760,11.249914285,1.250040443,2011
411,37.754327645,9.499871780,1.250040443,2011
412,39.507510670,8.249981922,1.250040443,2011
413,40.507336615,8.500000154,1.250040443,2011
414,41.257280362,9.499982793,1.250040443,2011
415,40.757398596,11.249988058,1.250040443,2011
416,39.757462672,13.999954615,1.250040443,2011
417,41.507428657,16.249768759,0.500000001,2011
418,43.003696835,17.749791281,0.000000000,2011
419,43.999242767,19.749895087,0.000000000,2011
420,43.995138261,22.499784098,0.000000000,2011
421,41.741629299,24.999694031,0.000000000,2011
422,39.489895568,26.999595439,0.000000000,2011
423,36.984730723,28.999336891,1.000000003,2011
424,33.981630323,30.749216186,2.250051132,2011
425,32.728181995,33.499296795,4.250073489,2011
426,30.470388203,35.999290712,7.000096372,2011
427,30.231619238,37.749499219,10.500152367,2011
428,29.484679608,38.249528295,14.250163936,2011
429,27.987536914,40.749518087,15.250113293,2011
430,26.992286487,42.249325154,15.250113293,2011
431,25.494030470,43.999285743,15.250113293,2011
432,23.746925772,44.999066184,15.250113293,2011
433,22.249200447,46.249478997,15.250113293,2011
434,20.999707518,46.499372906,15.250113293,2011
435,19.999585984,43.749963767,15.250113293,2011
436,19.999959678,43.999900996,14.250090285,2011
437,20.250045841,45.749910169,10.750101507,2011
438,19.500149855,45.749996773,8.000090311,2011
439,18.250435299,46.250036095,5.000073155,2011
440,17.500623954,49.750013351,2.500039388,2011
441,16.500933304,52.999891915,1.000022502,2011
442,15.500927379,55.749756317,0.250000000,2011
443,15.251024365,57.249718992,0.000000000,2011
444,14.750984753,57.500037327,0.000000000,2011
445,14.500933273,57.249932538,0.000000000,2011
446,14.250796583,56.249309570,0.000000000,2011
447,16.500579928,54.999818923,0.000000000,2011
448,17.000556465,53.999842857,0.000000000,2011
449,17.750608108,50.749768426,0.000000000,2011
450,19.250212939,47.249373855,0.000000000,2011
451,20.249761289,43.999688395,0.000000000,2011
452,21.749613949,44.999577284,0.000000000,2011
453,21.499256920,45.999836435,0.000000000,2011
454,21.749268277,49.249927926,0.000000000,2011
455,22.249273058,51.250125558,0.000000000,2011
456,22.499261673,52.250564197,0.000000000,2011
457,22.249827885,55.000255872,0.000000000,2011
458,22.999670953,52.750068399,0.750000076,2011
459,22.749756217,50.750023537,1.250005805,2011
460,22.499705851,54.499966711,1.250005805,2011
461,22.249563910,56.999455388,1.250005805,2011
462,20.499175672,57.750040423,1.250005805,2011
463,19.498837553,55.999954417,1.250005805,2011
464,18.998797590,56.500255139,1.250005805,2011
465,17.248983241,57.750176341,1.250005805,2011
466,16.499272414,58.500182101,1.250005805,2011
467,16.999272502,58.500547618,1.250005805,2011
468,18.749057445,58.000217167,1.250005805,2011
469,20.499000562,56.250165007,1.250005805,2011
470,21.498972207,57.000125622,1.250005805,2011
471,22.998949505,55.250131847,1.750005805,2011
472,25.999570705,51.499905434,3.499977301,2011
473,28.999830554,49.250069327,5.499971560,2011
474,30.249954566,47.000013403,7.250005496,2011
475,31.749829669,45.250267556,9.749954803,2011
476,30.749999564,43.250182356,11.999943430,2011
477,28.500095907,44.250329684,12.999960453,2011
478,28.000072869,43.750193522,13.749988903,2011
479,27.250038740,44.500050994,13.749988903,2011
480,26.750033518,45.500040297,13.749988903,2011
481,25.250175228,46.249948625,13.749988903,2011
482,24.750163312,46.749972195,13.749988903,2011
483,24.250186092,46.749876480,13.749988903,2011
484,24.000151952,48.749762633,13.749988903,2011
485,23.250242454,54.499780486,11.499796489,2011
486,21.750197027,58.749797500,7.249887024,2011
487,21.000197789,64.749645136,2.749960515,2011
488,19.750101816,69.499753054,0.999999978,2011
489,18.500039388,72.750370093,0.750000002,2011
490,18.249982886,79.500581262,0.500000001,2011
491,18.999954704,83.249940464,0.500000001,2011
492,18.749892224,85.499892415,0.500000001,2011
493,18.750005697,87.250460632,0.500000001,2011
494,18.750005457,86.749792919,0.500000001,2011
495,18.750095577,84.499496391,1.749983175,2011
496,18.250179781,84.999624484,2.499971713,2011
497,18.500117323,84.499516331,2.499971713,2011
498,20.000190959,81.999027630,2.499971713,2011
499,19.500191441,81.749502333,2.499971713,2011
500,19.250174126,82.999749965,2.499971713,2011
501,18.000145766,85.499658889,2.499971713,2011
502,17.500106042,89.749443663,2.499971713,2011
503,19.250134399,92.999654601,1.999971712,2011
504,18.000123025,97.749437548,1.999971712,2011
505,18.000122992,98.749466616,1.999971712,2011
506,19.000111623,92.999733443,1.999971712,2011
507,19.500088651,90.500166842,1.749983072,2011
508,19.749924773,89.749767645,1.000000003,2011
509,18.749954209,89.749820102,0.000000000,2011
510,17.749954364,88.499540790,0.000000000,2011
511,16.249971257,88.999318347,0.000000000,2011
512,17.249903438,87.749463753,0.000000000,2011
513,18.499925909,84.749485940,0.000000000,2011
514,19.749926173,86.749651129,0.000000000,2011
515,19.749954876,86.749868701,0.000000000,2011
516,20.499955028,86.499241368,0.000000000,2011
517,20.000010888,84.999458526,1.500000017,2011
518,19.500010925,85.999527062,1.750000028,2011
519,18.000039309,86.749221347,1.750000028,2011
520,18.000050943,88.249602815,2.000000028,2011
521,17.750050909,87.499780823,2.499999966,2011
522,20.249967247,83.999819008,3.750028320,2011
523,24.500143066,80.000109754,3.750028320,2011
524,25.500120834,75.999984030,3.750028320,2011
525,25.000053788,71.500023800,3.750028320,2011
526,25.000133404,70.249945791,3.750028320,2011
527,29.000212762,67.499889582,3.750028320,2011
528,33.750201493,59.749926956,3.750028320,2011
529,39.500185178,53.750049174,3.750028320,2011
530,39.500207290,54.999865281,3.750028320,2011
531,37.250179383,58.000023874,3.750028320,2011
532,34.500285140,62.499680777,3.750028320,2011
533,31.000223079,68.999513071,3.750028320,2011
534,29.000107030,75.499363779,2.500000033,2011
535,25.749641878,78.999293617,1.750000028,2011
536,20.999431788,82.249510031,1.750000028,2011
537,17.499470317,85.499438250,1.750000028,2011
538,16.999464268,84.499527779,1.249960896,2011
539,17.499317602,80.749577578,0.749983158,2011
540,16.249261924,81.748942358,0.250000000,2011
541,15.749222863,85.249149093,0.000000000,2011
542,15.499239623,85.249316960,0.000000000,2011
543,15.499200610,81.749569130,0.000000000,2011
544,15.249200621,79.249974779,0.000000000,2011
545,15.249145198,76.749822525,0.000000000,2011
546,15.249421749,75.000055816,0.000000000,2011
547,15.499643649,75.250146303,0.000000000,2011
548,14.999742720,77.249599767,0.000000000,2011
549,14.499892404,79.500016144,0.000000000,2011
550,14.499942772,82.999805866,0.250000000,2011
551,16.250020054,81.249735699,0.500000000,2011
552,17.499740741,80.249538201,0.500000000,2011
553,16.249792010,84.999801795,0.000000000,2011
554,14.999848906,86.749963624,0.000000000,2011
555,15.249848982,86.249800514,0.000000000,2011
556,16.249849214,86.250051831,0.000000000,2011
557,16.999848901,87.750407756,0.000000000,2011
558,15.499877319,94.499927118,0.000000000,2011
559,13.999865706,99.500483964,0.000000000,2011
560,15.249893931,98.750149610,0.000000000,2011
561,16.249882534,95.499762593,0.500000001,2011
562,17.249910943,90.999944125,2.250011481,2011
563,18.249933034,86.750201890,5.250217137,2011
564,20.499978512,83.000047200,8.500113951,2011
565,19.000033195,77.999837874,11.000113994,2011
566,18.750070529,71.750067324,13.249963165,2011
567,20.250247806,63.750322666,14.749823824,2011
568,21.000109065,52.750226145,15.499823710,2011
569,21.500119242,43.250026245,15.499823710,2011
570,21.500102414,35.749919026,15.499823710,2011
571,21.500146462,28.999996499,15.499823710,2011
572,21.500179421,24.500064528,15.499823710,2011
573,21.750410339,22.499805113,16.249840429,2011
574,21.750629738,20.749938831,16.249840429,2011
575,22.000976377,23.249945115,13.749840502,2011
576,22.501139502,24.000029099,10.249882823,2011
577,20.751352070,25.500107489,6.250006093,2011
578,19.251097880,25.749993351,4.500021894,2011
579,18.001031075,25.499974058,3.500033373,2011
580,17.251114398,23.999911649,3.000005088,2011
581,19.251196854,21.499658290,2.000016632,2011
582,19.751099484,17.749933289,4.500143070,2011
