distMark,water,crop,urban,year
0,9.999974051,0.000000000,42.749823448,2008
1,9.499957488,0.000000000,37.249852774,2008
2,9.999974051,0.000000000,36.249814795,2008
3,9.999974051,0.000000000,35.249941171,2008
4,10.999974123,0.000000000,35.249942071,2008
5,10.999974203,0.000000000,36.249844968,2008
6,10.500031395,0.000000000,38.499935525,2008
7,10.250007385,0.000000000,40.499838427,2008
8,9.249972243,0.000000000,41.749975342,2008
9,8.500005211,0.000000000,39.750035853,2008
10,8.750005082,0.000000000,37.000004599,2008
11,8.750021731,0.000000000,34.250001915,2008
12,9.250005027,0.250000000,29.999984878,2008
13,9.500005062,0.250000000,26.250055604,2008
14,10.250021633,0.250000000,22.750058203,2008
15,10.250005041,0.250000000,21.000065054,2008
16,10.500005107,0.250000000,18.750012578,2008
17,11.000021506,0.250000000,17.250035835,2008
18,11.250005033,0.250000000,17.000130563,2008
19,11.749993548,0.250000000,15.000128000,2008
20,12.000005094,0.250000000,12.500300078,2008
21,11.750033292,0.000000000,11.250050050,2008
22,12.250033151,0.000000000,11.750039955,2008
23,12.250033185,0.000000000,13.250040045,2008
24,12.250044743,0.000000000,14.250068141,2008
25,12.500028078,0.000000000,14.250068141,2008
26,12.000028001,0.500000000,14.250068141,2008
27,12.250011312,2.999970977,14.250068141,2008
28,12.000027793,4.999995965,14.250068141,2008
29,12.000011121,8.499973199,14.250068141,2008
30,12.500016334,11.499938404,14.000068141,2008
31,12.250016506,17.500234168,13.750068190,2008
32,12.250011206,22.499866360,12.000097148,2008
33,12.000004819,28.999883256,10.250044925,2008
34,12.499988355,33.999839756,7.750061411,2008
35,14.999850285,36.749810685,5.500044768,2008
36,17.499997877,37.249720405,3.750045604,2008
37,17.749946615,34.249787539,4.499924747,2008
38,17.499988310,29.999776458,7.249946790,2008
39,16.999988279,26.999815743,9.500074362,2008
40,15.999988255,24.999861804,10.750080625,2008
41,15.249976758,25.500007461,11.500057480,2008
42,15.249976686,30.000281866,11.500057480,2008
43,15.499976652,35.750144525,11.500057480,2008
44,17.249998678,43.750186099,11.500057480,2008
45,18.499915904,52.750147427,11.500057480,2008
46,18.499915774,63.500287598,11.500057480,2008
47,18.499915917,76.000435018,9.750085616,2008
48,15.499859032,85.250516517,6.500108851,2008
49,12.749927656,90.250224775,4.500056716,2008
50,12.749939281,95.250977401,3.250027896,2008
51,12.749972822,96.000814794,3.500027961,2008
52,13.249972825,94.250347394,4.249999782,2008
53,13.999905867,91.750328455,4.999999816,2008
54,14.999921569,87.000357894,5.999971746,2008
55,15.749921589,84.750368128,5.999932998,2008
56,14.499978235,83.000317673,6.249933184,2008
57,13.249978172,81.000530882,6.499933292,2008
58,13.749966778,80.999807132,5.499861548,2008
59,13.499978310,81.249632574,3.749933182,2008
60,15.000090808,79.249729898,2.249983331,2008
61,15.500195124,76.999511808,1.250000040,2008
62,17.000491613,71.999323271,1.250000040,2008
63,18.750445827,66.499421331,1.250000040,2008
64,20.500319859,61.249523644,1.250000040,2008
65,21.000274647,55.499633620,1.250000040,2008
66,21.000296975,51.750427207,1.250000040,2008
67,20.750347018,54.500359248,1.250000040,2008
68,20.000363271,56.249764361,1.250000040,2008
69,20.000385900,62.249687577,0.749983208,2008
70,19.750347026,67.999640023,0.500000015,2008
71,19.500414141,75.750744636,0.500000015,2008
72,20.750358511,79.999132032,0.500000015,2008
73,22.750380804,84.499566097,0.500000015,2008
74,24.750551253,83.999167584,0.500000015,2008
75,25.000276822,83.498930816,0.500000015,2008
76,25.000197755,84.749146389,0.500000015,2008
77,24.250052690,84.999176142,1.000000015,2008
78,23.499634710,84.749208970,1.250000015,2008
79,22.749573124,83.249850173,1.000000001,2008
80,22.499511955,81.499467225,0.750000000,2008
81,22.249523612,80.499948364,1.000000001,2008
82,23.249503587,81.500332314,1.250000002,2008
83,23.499446678,83.500306534,1.750000003,2008
84,23.749386257,83.750271715,3.499988453,2008
85,24.249397920,80.749876077,4.499994823,2008
86,23.999380252,79.249937193,4.999994944,2008
87,22.749284284,77.999787771,7.000006438,2008
88,21.749546240,77.750198405,9.749939672,2008
89,20.499769883,73.749625419,12.499787721,2008
90,19.500073589,70.499810180,16.249580341,2008
91,18.500038032,68.250230366,17.249436463,2008
92,17.250153859,63.750262003,17.499436464,2008
93,16.000159816,60.250722070,17.499436467,2008
94,15.500209018,58.000348443,17.499436467,2008
95,14.500219578,56.000571191,17.499436467,2008
96,15.750214541,54.500626326,17.749436467,2008
97,16.750329093,57.000852114,17.999481341,2008
98,16.500398165,61.000256290,17.999436578,2008
99,16.750302011,65.750089580,17.499547380,2008
100,16.250357336,73.249683578,14.499367645,2008
101,15.749775657,78.750463633,11.749729961,2008
102,15.249925299,82.500788571,10.499970700,2008
103,15.000040248,87.000567677,8.250051335,2008
104,15.250109437,89.499971606,6.500079553,2008
105,16.000138177,92.499906497,6.250079553,2008
106,15.750017041,97.749940475,6.000079550,2008
107,14.999921480,101.000078396,5.500079548,2008
108,14.750004985,105.249942812,5.500079548,2008
109,15.250005198,106.500628207,5.000073173,2008
110,14.499948118,111.500310770,3.000001194,2008
111,14.999959561,112.749418184,1.750028243,2008
112,15.500032477,115.499820548,1.750028243,2008
113,15.250038651,117.250376501,1.750028243,2008
114,15.000010554,117.500632559,1.750028243,2008
115,15.250038752,119.749266188,0.750016719,2008
116,15.000038927,120.999755414,0.000000000,2008
