areaSqKm,year,DistMark
0.025581844,2002,568
0.001395278,2002,453
0.02488755,2002,479
0.024195065,2002,335
0.020094246,2002,528
0.022507117,2002,179
0.022541863,2002,512
0.022478073,2002,529
0.008253967,2002,132
0.021795192,2002,187
0.000450442,2002,545
0.000980848,2002,59
0.015894611,2002,299
0.15364675,2002,320
0.209466574,2002,128
0.011962266,2002,371
0.000205922,2002,61
0.00059712,2002,82
0.045696093,2002,266
0.070266971,2002,392
0.062266624,2002,219
0.002911292,2002,554
0.01779183,2002,116
0.040512104,2002,482
0.010311516,2002,361
0.042879567,2002,302
0.042497802,2002,107
0.041242083,2002,218
0.039813789,2002,332
0.021420119,2002,178
0.036323251,2002,38
0.0356876,2002,567
0.033423909,2002,190
0.028869904,2002,389
0.026536347,2002,303
0.026285971,2002,85
0.026234141,2002,36
0.020380736,2002,271
0.001145886,2002,253
0.009832518,2002,990
0.052604525,2002,707
0.014010317,2002,876
0.13751307,2002,981
0.019781232,2002,877
0.038816168,2002,1043
0.025771764,2002,869
0.00989615,2002,932
0.029867857,2002,883
0.000842704,2002,875
0.04461888,2002,1058
0.011689184,2002,989
0.016736427,2002,768
0.051380364,2002,1015
0.017842796,2002,652
0.000426342,2002,1082
0.026761063,2002,669
0.04336044,2002,668
0.042952329,2002,817
0.040295639,2002,694
0.036781847,2002,920
0.036308902,2002,616
0.03496809,2002,727
0.03438791,2002,909
0.00407152,2002,770
0.032837456,2002,897
0.014188667,2002,722
0.005482287,2002,679
0.03131468,2002,860
0.031059623,2002,721
0.020243052,2002,689
0.00842857,2002,631
0.021031275,2002,912
0.005815565,2002,922
0.001846639,2002,923
0.028724798,2002,730
0.026441773,2002,685
0.003146214,2002,704
0.004332041,2002,694
0.024789124,2002,609
0.003941692,2002,670
0.029637909,2002,920
0.100515084,2002,1066
0.004277225,2002,787
0.020009561,2002,700
0.023361658,2002,770
0.023237361,2002,682
0.023364427,2002,1068
0.000919915,2002,1078
0.005604664,2002,914
0.00489886,2002,932
0.019538206,2002,722
0.021880895,2002,818
0.021891354,2002,905
0.021697404,2002,714
0.021600204,2002,622
0.002666837,2002,1041
0.020285977,2002,1020
0.004948557,2002,664
0.012863726,2002,1205
0.005216114,2002,1478
0.00023519,2002,1220
0.001237626,2002,1400
0.022328622,2002,1232
0.009115477,2002,1494
0.030042294,2002,1194
0.020910135,2002,1189
0.021016022,2002,1585
0.020934567,2002,1533
0.020820818,2002,1343
0.02082247,2002,1345
0.02068743,2002,1350
0.074516864,2002,1119
0.00256301,2002,1373
2.71E-05,2002,1232
0.022796338,2002,1533
0.010897293,2002,1117
0.035166082,2002,1238
0.046954493,2002,1375
0.001067004,2002,1367
0.000522359,2002,1121
0.027643204,2002,1479
0.007144918,2002,1259
0.040072776,2002,1267
0.038636389,2002,1147
0.037909438,2002,1524
0.036459635,2002,1174
0.032561009,2002,1174
0.030996429,2002,1511
0.031043427,2002,1470
0.030050036,2002,1274
0.029241169,2002,1369
0.027629753,2002,1469
0.026319372,2002,1166
0.008101589,2002,1238
0.000328263,2002,1395
0.013139811,2002,1491
0.024943856,2002,1563
0.024118802,2002,1111
0.023185439,2002,1224
0.020668501,2002,1394
0.004434131,2002,1163
0.017182108,2002,1182
0.021799046,2002,1585
0.013874484,2002,571
0.007452504,2002,324
0.003204351,2002,529
0.020837543,2002,159
0.000417915,2002,50
0.014128712,2002,131
0.000781503,2002,413
0.003454819,2002,424
0.010355006,2002,545
0.010897922,2002,544
0.020690419,2002,58
3.30E-05,2002,578
0.00419511,2002,17
3.27E-05,2002,466
0.017040689,2002,162
0.002998885,2002,582
0.015015236,2002,76
0.065183822,2002,301
0.318288082,2002,474
0.125832392,2002,527
3.26E-06,2002,318
0.181048775,2002,319
0.011485605,2002,318
0.018556798,2002,129
0.037589912,2002,127
0.120470024,2002,339
0.148369693,2002,354
0.010041592,2002,234
0.16488426,2002,375
0.138351914,2002,196
0.169551065,2002,530
0.096784412,2002,373
0.027053087,2002,404
0.001519967,2002,160
0.16732157,2002,124
0.006519432,2002,61
0.126878864,2002,60
0.039688247,2002,59
0.086701724,2002,408
0.075063943,2002,445
0.147095318,2002,83
0.036127155,2002,530
0.091538589,2002,161
0.090262185,2002,263
0.060285466,2002,414
0.025588777,2002,273
0.000394486,2002,44
0.022340717,2002,230
0.014230421,2002,188
0.058524766,2002,38
0.066310543,2002,130
0.017316436,2002,535
0.047383244,2002,342
0.046178474,2002,267
0.000155205,2002,105
0.034952913,2002,532
0.024780868,2002,443
0.034978878,2002,491
0.040040199,2002,69
0.073290267,2002,464
0.001656516,2002,201
0.009319326,2002,399
0.014097877,2002,137
0.043879524,2002,503
0.01847287,2002,440
0.02379342,2002,174
0.038057294,2002,358
0.016176912,2002,392
0.000691496,2002,218
0.006965594,2002,516
0.041736223,2002,427
0.006776275,2002,508
0.009023933,2002,149
0.005786699,2002,437
0.017093346,2002,444
0.054482814,2002,553
0.037097449,2002,115
0.000286061,2002,415
0.003833285,2002,409
0.002571837,2002,491
0.010013509,2002,483
0.005926289,2002,419
0.02286204,2002,431
0.007395121,2002,551
0.003500228,2002,202
0.012343748,2002,412
0.011388342,2002,485
0.027994779,2002,360
0.006012369,2002,359
0.022035698,2002,553
0.009238211,2002,307
0.015622159,2002,15
0.007551036,2002,186
0.002410179,2002,418
0.005917685,2002,500
0.016654793,2002,177
0.036601425,2002,408
0.001763173,2002,408
0.001895799,2002,460
0.001986691,2002,447
0.023856832,2002,574
0.016890792,2002,316
0.000130417,2002,517
0.002363424,2002,214
0.017859351,2002,220
1.55E-05,2002,509
0.008783328,2002,577
0.004036761,2002,93
8.08E-07,2002,495
0.001818519,2002,490
0.017661998,2002,540
0.01384861,2002,517
0.005368837,2002,272
0.024743015,2002,252
0.002895595,2002,536
0.023434779,2002,1070
0.058364639,2002,991
0.061205571,2002,992
0.056054275,2002,993
2.01E-05,2002,994
0.034273192,2002,709
0.138767935,2002,877
0.021104561,2002,878
0.035601638,2002,982
0.022406744,2002,1081
0.006090787,2002,625
0.135222987,2002,878
0.011727425,2002,818
0.002453605,2002,974
0.049736909,2002,1044
0.043757294,2002,1045
0.090132542,2002,868
0.014032919,2002,867
0.001791149,2002,1001
0.102631076,2002,933
0.061092136,2002,585
0.065273353,2002,994
0.07415738,2002,884
0.011526996,2002,645
0.000981634,2002,1065
0.003366102,2002,863
0.011399008,2002,716
0.001132698,2002,752
0.024742567,2002,1042
0.034611341,2002,876
5.77E-05,2002,877
0.034442302,2002,877
0.01093077,2002,878
0.059801406,2002,911
0.039811034,2002,766
0.047946732,2002,624
0.03368544,2002,1059
0.054828752,2002,762
0.036323701,2002,728
0.000404815,2002,635
0.005033036,2002,951
0.011961504,2002,646
0.003930032,2002,676
0.007182532,2002,960
0.019645013,2002,589
0.031918705,2002,810
0.003807216,2002,595
0.029140503,2002,957
0.033578423,2002,949
0.009621611,2002,617
0.045262296,2002,990
0.000524725,2002,755
0.001437953,2002,996
0.013032325,2002,840
0.025488298,2002,640
0.002882083,2002,1065
0.002804531,2002,765
0.033269181,2002,653
0.003103112,2002,678
0.005208671,2002,932
0.047025364,2002,944
0.004759875,2002,974
0.001164978,2002,1012
0.040750459,2002,1021
0.047806214,2002,1081
4.01E-05,2002,1082
0.000433176,2002,936
0.001297918,2002,715
0.005342409,2002,1020
0.003609972,2002,979
0.019792049,2002,670
0.017643661,2002,1031
0.040839631,2002,612
0.000494005,2002,945
0.000108348,2002,694
0.006631477,2002,634
0.009479493,2002,698
0.000468078,2002,1008
0.000282953,2002,841
0.019406641,2002,614
2.91E-05,2002,953
8.14E-06,2002,825
0.010583578,2002,791
0.006323184,2002,933
2.94E-05,2002,752
0.02783018,2002,915
0.017759093,2002,951
0.019562652,2002,711
0.0008291,2002,1016
0.000256157,2002,849
0.000676126,2002,865
0.008014814,2002,656
0.001474073,2002,820
0.029425565,2002,769
0.027276162,2002,681
0.000621144,2002,764
0.0013775,2002,636
0.017613482,2002,721
0.0162418,2002,583
0.001144958,2002,999
0.02627079,2002,678
0.023613692,2002,861
0.010984443,2002,688
0.022452911,2002,630
0.022580808,2002,917
0.007050421,2002,782
0.00872005,2002,913
0.000808736,2002,859
9.86E-06,2002,916
0.023067679,2002,923
0.000951066,2002,923
0.026162947,2002,924
0.004422453,2002,651
0.001628319,2002,606
0.002231304,2002,877
0.002789701,2002,910
0.003850329,2002,954
0.000811964,2002,754
0.005413819,2002,1003
0.000107543,2002,821
0.000241215,2002,781
0.002062415,2002,739
0.00228576,2002,867
0.007260919,2002,897
0.022310515,2002,976
0.014112953,2002,985
0.004681938,2002,633
0.000409158,2002,790
0.004544642,2002,1061
0.000233552,2002,882
0.012326448,2002,752
0.021867164,2002,705
0.020537309,2002,695
0.001211143,2002,815
0.008589606,2002,904
5.39E-07,2002,967
0.179343948,2002,849
0.292823078,2002,726
0.032093353,2002,920
0.021459138,2002,921
0.115073922,2002,922
0.20981466,2002,996
0.14150009,2002,1067
0.002305936,2002,1068
0.072202185,2002,1068
0.022475043,2002,785
0.001442095,2002,770
0.199921984,2002,820
0.066230034,2002,816
0.118179947,2002,969
0.095470312,2002,1068
0.006526785,2002,994
0.128297125,2002,659
0.197525265,2002,899
2.54E-05,2002,700
0.004022308,2002,701
0.000734265,2002,591
0.000597513,2002,616
0.004208499,2002,686
0.002158082,2002,630
0.022453622,2002,1079
5.11E-05,2002,914
0.017015021,2002,913
0.017756871,2002,933
0.003106295,2002,721
0.002331404,2002,720
0.003163487,2002,651
0.002225377,2002,1005
0.003497246,2002,596
0.012834152,2002,1015
0.003647935,2002,650
0.000433164,2002,935
0.018311466,2002,1042
0.012517394,2002,629
0.000864202,2002,947
0.010711138,2002,955
0.006610578,2002,703
0.000757968,2002,1000
0.000843382,2002,1004
0.015281368,2002,665
0.174221225,2002,1130
0.09938531,2002,1114
0.085133336,2002,1233
0.047488317,2002,1256
0.075252806,2002,1242
0.019337827,2002,1426
0.053883178,2002,1206
0.01180863,2002,1208
0.024333777,2002,1368
0.000704884,2002,1242
0.028864016,2002,1475
0.077313624,2002,1262
0.018038986,2002,1122
0.047250838,2002,1371
0.020336378,2002,1216
0.003888001,2002,1203
0.011198258,2002,1272
0.054689269,2002,1189
0.042834923,2002,1241
