areaSqKm,year,DistMark
0.0218678,2013,401
0.009278746,2013,309
0.043042227,2013,398
0.003262677,2013,43
0.063618324,2013,144
0.052164247,2013,274
0.028836992,2013,229
0.012307115,2013,133
0.031394325,2013,415
0.001264333,2013,214
0.040953909,2013,215
0.018236872,2013,132
0.02085636,2013,505
0.036677824,2013,218
0.003758025,2013,272
0.034226309,2013,221
0.004890895,2013,129
0.031898213,2013,279
0.030931878,2013,14
0.029362193,2013,97
0.008234148,2013,36
0.005274434,2013,207
0.026999083,2013,99
0.00114229,2013,59
0.024909517,2013,445
0.024967891,2013,99
0.023993902,2013,80
0.022641664,2013,334
0.022559863,2013,264
0.022606929,2013,262
0.085046282,2013,69
0.016796527,2013,422
8.16E-05,2013,417
0.05289929,2013,304
0.034380199,2013,389
6.42E-05,2013,137
0.208752598,2013,441
0.153406001,2013,144
0.243550266,2013,528
0.064046859,2013,225
0.037093781,2013,266
0.028354459,2013,297
0.080288294,2013,264
0.085377675,2013,380
0.053604607,2013,173
0.033545972,2013,274
0.116343554,2013,128
0.025255218,2013,271
2.14E-05,2013,246
0.001946719,2013,459
0.021899685,2013,360
0.010356819,2013,127
0.020839978,2013,45
0.020244335,2013,540
0.002437754,2013,565
0.025302599,2013,870
0.073908701,2013,891
0.000108972,2013,746
0.000902677,2013,1061
0.032561378,2013,876
0.073593293,2013,1040
0.051978458,2013,863
0.065433994,2013,731
0.002340615,2013,1060
0.008157938,2013,651
0.056182004,2013,819
0.017466106,2013,882
0.051586597,2013,961
0.029713772,2013,1058
0.019679326,2013,1071
0.010483243,2013,948
0.036646863,2013,1027
0.000272909,2013,751
0.031126235,2013,749
0.031089548,2013,727
0.030344343,2013,803
0.029649961,2013,867
0.029395526,2013,640
0.011363214,2013,960
0.028679647,2013,728
0.003021978,2013,707
0.005172658,2013,837
0.024802548,2013,874
0.098489676,2013,658
0.258555495,2013,727
0.010739921,2013,973
0.001377991,2013,620
3.05E-05,2013,723
0.015172813,2013,671
0.004397216,2013,924
0.023780247,2013,816
0.006764628,2013,687
0.01165554,2013,979
1.53E-06,2013,803
0.024908013,2013,1052
0.002189024,2013,818
0.008146108,2013,1051
0.023399539,2013,908
0.02191895,2013,816
0.002594311,2013,849
0.021055265,2013,1066
0.001800667,2013,722
0.006949171,2013,717
0.045414579,2013,1375
0.045213422,2013,1585
0.01549741,2013,1110
0.027705372,2013,1281
0.026224622,2013,1585
0.038045739,2013,1537
0.037206397,2013,1537
0.004438345,2013,1324
0.03433671,2013,1293
0.03092498,2013,1233
0.008280259,2013,1163
0.032517924,2013,1495
0.031973834,2013,1585
0.031617355,2013,1281
0.031562424,2013,1376
0.030763775,2013,1432
0.028429399,2013,1385
0.019300115,2013,1473
0.028695392,2013,1101
0.008621391,2013,1251
0.027248348,2013,1581
0.003971432,2013,1297
0.02639758,2013,1537
0.025526327,2013,1252
0.011088874,2013,1539
0.024708906,2013,1254
0.002130869,2013,1579
0.024168878,2013,1111
0.00987417,2013,1221
0.024056229,2013,1231
0.023229104,2013,1241
0.023076861,2013,1294
0.023270034,2013,1535
0.003392068,2013,1241
0.022336188,2013,1281
0.00319231,2013,1189
0.0218588,2013,1577
0.021663788,2013,1495
0.020965319,2013,1584
0.020918937,2013,1514
0.00089929,2013,1363
0.197572268,2013,1577
0.049513167,2013,1163
0.020862033,2013,1239
0.057824784,2013,1242
0.110193618,2013,1174
0.023622738,2013,1292
0.012827485,2013,1160
0.007997607,2013,1140
0.047810511,2013,1474
0.087961688,2013,1576
0.002405426,2013,1576
0.080103126,2013,1585
0.002545723,2013,1175
0.059919626,2013,1585
0.056549387,2013,1502
0.042885561,2013,1240
0.052560696,2013,1253
0.037136847,2013,1213
0.008834091,2013,1548
0.021444079,2013,1139
0.045945937,2013,1584
0.045915914,2013,1580
0.037786737,2013,1148
0.095596447,2013,1125
0.00079485,2013,1169
0.088876563,2013,402
0.096740334,2013,308
0.053305969,2013,56
0.061744256,2013,557
0.033095811,2013,322
0.052172095,2013,399
0.002552571,2013,45
0.085121629,2013,44
0.032216766,2013,42
0.027466465,2013,169
0.022965319,2013,145
0.074241277,2013,482
0.020258172,2013,227
0.028352841,2013,477
0.011620896,2013,524
6.23E-05,2013,402
0.032343021,2013,488
0.005849478,2013,476
0.007145234,2013,418
0.014610144,2013,423
0.021268627,2013,446
0.021118655,2013,363
0.016082533,2013,344
0.004313238,2013,548
0.025165128,2013,170
0.047120259,2013,26
0.017922457,2013,116
0.023413539,2013,228
0.038762727,2013,134
0.026201342,2013,300
0.018523664,2013,416
2.42E-05,2013,24
0.00154724,2013,475
0.002168901,2013,483
0.018265107,2013,528
0.008896308,2013,347
0.043845157,2013,213
0.003290491,2013,214
0.009600373,2013,27
0.010389538,2013,375
0.024187602,2013,131
0.011035138,2013,93
0.000150957,2013,257
0.001413952,2013,194
5.36E-05,2013,363
0.001525497,2013,212
0.018809836,2013,506
0.020390987,2013,410
0.018060783,2013,484
0.006416826,2013,100
0.000629959,2013,217
0.03067057,2013,205
0.008850337,2013,479
0.02541752,2013,186
0.000594731,2013,180
0.001117515,2013,177
0.002229494,2013,130
0.032219282,2013,273
0.00013526,2013,471
0.010844277,2013,112
0.010380175,2013,17
0.00571722,2013,325
0.007026894,2013,426
5.66E-05,2013,188
0.029247679,2013,128
0.000214336,2013,388
0.001126716,2013,396
0.023093891,2013,183
0.005154183,2013,80
0.018551828,2013,386
0.001669259,2013,400
0.021223387,2013,35
0.008336881,2013,32
0.012419845,2013,363
0.019075736,2013,214
0.000972732,2013,193
0.012380692,2013,110
3.63E-05,2013,381
1.21E-05,2013,393
0.021880648,2013,206
0.001900679,2013,160
0.00339149,2013,539
0.000312144,2013,233
0.025219468,2013,58
0.000344931,2013,385
0.000688327,2013,440
0.019353565,2013,530
0.001354645,2013,161
0.006138837,2013,529
0.003048713,2013,390
0.004444229,2013,531
0.00103302,2013,134
0.015515576,2013,574
0.010723644,2013,103
0.000438201,2013,16
0.000129894,2013,184
0.000318374,2013,527
0.12072199,2013,70
0.412199674,2013,69
0.422098054,2013,423
0.710216363,2013,424
0.74255836,2013,425
0.043571741,2013,426
0.000380521,2013,417
0.000177573,2013,417
0.00163713,2013,417
0.485720554,2013,418
0.594768562,2013,419
0.391736071,2013,420
0.127809062,2013,421
0.319836554,2013,429
0.316501829,2013,303
0.469924019,2013,302
0.346434022,2013,301
0.555345986,2013,405
0.514485361,2013,390
0.458944141,2013,391
0.241099745,2013,392
0.029692298,2013,393
0.061261861,2013,137
0.404928068,2013,138
0.178107533,2013,140
0.304439315,2013,442
0.27936761,2013,443
0.150975811,2013,444
0.115179535,2013,88
0.449787388,2013,145
0.242027502,2013,146
0.210167051,2013,526
0.119030766,2013,224
0.142583157,2013,222
0.33053262,2013,474
0.204201775,2013,375
0.000167699,2013,267
0.150992337,2013,267
0.171849506,2013,268
0.077616442,2013,269
0.358408736,2013,364
0.000515244,2013,299
6.16E-05,2013,299
0.202318806,2013,498
0.252443795,2013,495
0.209066976,2013,264
0.225810738,2013,356
0.202761777,2013,263
0.009022111,2013,262
0.150570583,2013,379
0.147907267,2013,424
0.137569847,2013,261
0.036168321,2013,81
0.151956567,2013,172
0.002976063,2013,171
5.91E-05,2013,170
0.140841624,2013,275
0.032716565,2013,276
0.004127874,2013,129
0.052989884,2013,127
0.000279335,2013,271
0.137732425,2013,272
0.000178096,2013,273
0.160322472,2013,245
0.017328908,2013,437
0.097678301,2013,256
0.001369474,2013,82
0.044145142,2013,231
0.021858458,2013,460
0.102039652,2013,459
0.006605421,2013,458
0.011345099,2013,102
0.0011978,2013,105
0.000129502,2013,387
0.008678652,2013,308
0.000618409,2013,427
0.004768854,2013,525
1.93E-05,2013,428
0.006162803,2013,481
0.007007635,2013,200
0.001341324,2013,175
0.010512629,2013,126
1.22E-05,2013,81
0.000520107,2013,406
0.00071104,2013,429
0.006919113,2013,441
0.017705873,2013,566
0.000964413,2013,124
0.000463087,2013,73
0.001832379,2013,0
0.106612168,2013,697
0.075175057,2013,674
0.05977875,2013,937
0.060736718,2013,869
0.067431173,2013,868
0.065191001,2013,1041
0.073054602,2013,994
1.23E-06,2013,970
0.000254446,2013,728
0.000991696,2013,744
0.030497251,2013,1063
0.048881639,2013,1062
0.003217596,2013,1077
0.045931905,2013,877
0.012793503,2013,964
0.011139183,2013,907
0.02685873,2013,807
0.0018582,2013,1041
0.025396731,2013,596
0.018261521,2013,864
0.001439088,2013,730
0.031367978,2013,1037
0.006513229,2013,1074
0.000254045,2013,959
0.000611529,2013,996
0.005805966,2013,946
7.50E-05,2013,881
0.000991289,2013,754
0.012675068,2013,980
0.00081659,2013,720
0.008411195,2013,651
0.055252923,2013,1061
0.048395832,2013,652
0.03394871,2013,1068
0.037317718,2013,883
0.001372569,2013,904
0.000429328,2013,637
0.005749129,2013,858
7.13E-06,2013,643
0.000645947,2013,747
0.003945179,2013,937
0.017902115,2013,1059
0.000140239,2013,696
0.010044595,2013,661
0.000432941,2013,1062
0.000734265,2013,591
0.003972702,2013,844
0.00166088,2013,613
0.002375098,2013,729
0.000753275,2013,1061
0.005483472,2013,782
0.019987475,2013,666
0.001744172,2013,948
0.003625438,2013,961
0.021478742,2013,1072
0.000705194,2013,867
2.50E-06,2013,776
0.02782427,2013,949
0.015495835,2013,958
0.009341712,2013,689
0.003141824,2013,949
0.003168256,2013,715
0.03472881,2013,750
3.78E-05,2013,651
0.002124059,2013,772
0.008214997,2013,817
0.016142521,2013,961
0.000602181,2013,593
0.019139121,2013,1040
0.000212711,2013,901
3.92E-05,2013,781
0.0026777,2013,857
0.006843728,2013,834
8.98E-05,2013,829
0.025130637,2013,959
0.002703082,2013,817
0.008154943,2013,947
0.017524913,2013,961
0.005810538,2013,617
0.006881421,2013,1079
0.007972274,2013,1070
2.17E-05,2013,846
0.024880029,2013,708
0.003061494,2013,690
0.003065021,2013,679
0.001464546,2013,605
6.01E-05,2013,634
0.000236152,2013,753
0.156070934,2013,836
0.419708861,2013,835
0.003272971,2013,833
0.003279038,2013,875
0.173033844,2013,875
0.104504338,2013,879
0.398940888,2013,878
0.628036213,2013,659
0.472473477,2013,660
0.061291441,2013,661
0.714917795,2013,726
0.157685628,2013,725
0.065083278,2013,665
0.023724465,2013,847
0.566819549,2013,923
0.160097536,2013,849
0.362652548,2013,815
0.249673639,2013,878
0.141903387,2013,618
0.217736236,2013,592
0.116529943,2013,839
0.243900962,2013,869
0.224805132,2013,996
0.154429157,2013,1042
0.162312725,2013,1021
0.052969331,2013,975
0.175848526,2013,621
6.36E-05,2013,623
0.004587594,2013,623
0.040492928,2013,724
0.003318483,2013,722
0.108227901,2013,619
0.06725681,2013,851
0.356366931,2013,668
0.108948989,2013,1065
3.49E-05,2013,924
0.674431034,2013,926
0.000625985,2013,928
0.002416525,2013,969
3.63E-05,2013,595
0.0010113,2013,604
0.012629802,2013,622
0.00284848,2013,817
0.019575859,2013,686
0.001272935,2013,960
0.014081148,2013,980
0.00078356,2013,717
0.024980259,2013,804
0.015628798,2013,955
0.000224739,2013,750
0.000165985,2013,699
0.017821634,2013,661
0.022014371,2013,819
0.013391548,2013,760
0.000825651,2013,754
0.000231531,2013,716
0.000956433,2013,713
0.001479226,2013,1051
0.014567974,2013,1052
0.021500929,2013,1022
0.011883769,2013,593
0.014532547,2013,650
0.004346038,2013,654
0.001688817,2013,664
0.017623662,2013,943
0.00082869,2013,745
5.56E-05,2013,800
0.003883796,2013,942
0.000172815,2013,758
0.000966514,2013,751
0.001381079,2013,977
8.82E-05,2013,1004
0.018662504,2013,850
1.06E-05,2013,969
0.008103635,2013,609
0.018416882,2013,721
0.013224006,2013,716
0.000253906,2013,716
0.001170597,2013,1014
0.015055171,2013,1391
0.003268922,2013,1157
0.02876622,2013,1111
0.016217153,2013,1282
0.006035788,2013,1193
0.01289502,2013,1230
0.002504237,2013,1573
0.000137967,2013,1585
0.014139541,2013,1584
0.002097559,2013,1514
0.000388685,2013,1121
0.033139473,2013,1374
0.00052423,2013,1133
0.031687049,2013,1323
0.00460899,2013,1434
0.011788711,2013,1229
0.000735987,2013,1238
0.001114013,2013,1294
0.000193574,2013,1119
0.008940516,2013,1151
0.010323069,2013,1262
0.017136165,2013,1163
0.003120611,2013,1234
2.20E-06,2013,1462
0.025051135,2013,1164
0.003407281,2013,1280
0.000614595,2013,1347
0.000913814,2013,1136
0.000387064,2013,1201
0.008255007,2013,1524
0.001864073,2013,1427
0.005441284,2013,1529
0.00045702,2013,1106
0.00371071,2013,1123
0.005486611,2013,1581
0.004987012,2013,1580
0.003613428,2013,1381
0.003470347,2013,1152
0.001616254,2013,1386
0.002909081,2013,1084
0.000236234,2013,1173
0.006058226,2013,1581
0.010120601,2013,1472
0.012775237,2013,1451
0.0183867,2013,1252
9.77E-05,2013,1547
0.022903596,2013,1298
0.001233292,2013,1094
0.002316466,2013,1167
0.000638838,2013,1495
0.006158746,2013,1386
0.00194671,2013,1082
2.20E-06,2013,1141
0.014521471,2013,1538
0.005433574,2013,1241
0.022722716,2013,1578
0.000904444,2013,1286
0.019473052,2013,1546
0.011295575,2013,1109
0.014105967,2013,1222
7.12E-06,2013,1232
0.019009893,2013,1242
0.000204597,2013,1474
0.000885882,2013,1097
0.018468875,2013,1190
0.000458229,2013,1559
0.01736793,2013,1477
0.001402552,2013,1143
1.94E-05,2013,1137
0.00137183,2013,1218
0.011637269,2013,1234
0.001659278,2013,1251
0.000471511,2013,1572
0.004995435,2013,1468
0.019851248,2013,1362
0.144253076,2013,1292
4.87E-05,2013,1374
0.013146488,2013,1226
0.02785699,2013,1127
0.113961869,2013,1164
0.105036602,2013,1240
0.03389457,2013,1241
0.111649058,2013,1237
0.008830894,2013,1495
0.022169471,2013,1138
0.05078884,2013,1272
0.087575797,2013,1584
0.000167425,2013,1542
0.055056532,2013,1243
0.085798291,2013,1293
1.70E-06,2013,1162
0.0941964,2013,1161
0.00131312,2013,1162
0.056797425,2013,1240
0.001209446,2013,1238
0.023987403,2013,1117
0.067048319,2013,1162
0.061109221,2013,1097
0.0577549,2013,1159
0.022747462,2013,1491
0.000166117,2013,1474
1.02E-05,2013,1578
0.083939173,2013,1575
0.049317159,2013,1268
0.045572051,2013,1371
0.063034388,2013,1228
0.028514153,2013,1280
0.001245237,2013,1537
0.009549273,2013,1215
0.041708117,2013,1248
0.009324847,2013,1232
0.020977251,2013,1279
0.060307204,2013,1176
0.006110628,2013,1446
0.047875407,2013,1127
0.015619457,2013,1265
0.0104533,2013,1241
0.031931088,2013,1132
0.015410284,2013,1567
0.011621107,2013,1214
0.01593775,2013,1230
0.025253077,2013,1138
1.08E-05,2013,1148
0.000344088,2013,1145
0.345534004,2013,1147
0.339099012,2013,1146
0.384831895,2013,1119
0.037733279,2013,1172
0.389944964,2013,1122
0.297075366,2013,1149
0.005434127,2013,1127
0.003582684,2013,1127
0.032158717,2013,1169
0.032884632,2013,1577
0.00153671,2013,45
0.087397822,2013,45
0.012432191,2013,172
0.003094716,2013,172
0.003107832,2013,172
0.030274296,2013,172
0.000769664,2013,374
0.003898844,2013,374
0.043802863,2013,374
0.002327209,2013,444
0.006982334,2013,444
0.036626102,2013,444
0.0046418,2013,274
0.03813534,2013,274
0.000782614,2013,378
0.041472044,2013,378
0.000764898,2013,520
0.000790613,2013,520
0.006987418,2013,520
0.033353062,2013,520
0.000766603,2013,480
0.001571353,2013,480
0.038826743,2013,480
0.000774282,2013,36
0.039423361,2013,36
0.000781378,2013,324
0.001549372,2013,324
0.035787757,2013,324
0.001574919,2013,319
0.002343174,2013,319
0.034344268,2013,319
0.000782569,2013,343
0.036686207,2013,343
0.001568275,2013,530
0.000777958,2013,530
0.0015686,2013,530
0.030253977,2013,530
0.000793072,2013,282
0.00076762,2013,282
0.017884004,2013,282
0.014008993,2013,282
0.000781085,2013,409
0.000768612,2013,409
0.000781334,2013,409
0.001549554,2013,409
0.001575931,2013,409
0.000781051,2013,409
0.000781474,2013,409
0.000768534,2013,409
0.001549847,2013,409
0.00390657,2013,409
0.01869992,2013,409
0.000779957,2013,301
0.002352578,2013,301
0.010905465,2013,301
0.015585212,2013,301
0.000766093,2013,214
0.027974142,2013,214
0.00153244,2013,490
0.026410006,2013,490
0.000777663,2013,181
0.000777316,2013,181
0.000777381,2013,181
0.000777695,2013,181
0.002319837,2013,181
0.009331171,2013,181
0.01319287,2013,181
0.006916008,2013,146
0.018561826,2013,146
0.00312539,2013,52
0.010848579,2013,52
0.011597552,2013,52
0.010834519,2013,283
0.013958409,2013,283
0.000792801,2013,448
0.004666534,2013,448
0.019407171,2013,448
0.000767048,2013,301
0.023335351,2013,301
