areaSqKm,year,DistMark
0.036915911,2001,371
0.135572557,2001,527
0.112560308,2001,404
0.108555715,2001,390
0.008225933,2001,234
0.083824971,2001,326
2.80E-06,2001,82
0.020618496,2001,301
0.110603811,2001,272
0.099593339,2001,234
0.003741801,2001,517
0.097026693,2001,379
0.058167589,2001,227
0.008779185,2001,375
0.015879564,2001,271
0.057373575,2001,171
0.054579361,2001,390
0.046187287,2001,562
0.047132175,2001,23
0.000131492,2001,69
0.025275079,2001,347
0.034172183,2001,202
0.034107463,2001,553
0.030917705,2001,81
0.019595355,2001,369
0.030147572,2001,79
0.028118455,2001,393
0.026285439,2001,85
0.025684483,2001,187
0.025001873,2001,375
0.001352878,2001,152
0.024787207,2001,83
0.024055175,2001,201
0.022638776,2001,374
1.96E-05,2001,119
0.021682258,2001,546
0.021044999,2001,324
0.020225335,2001,241
0.020117078,2001,176
0.020196727,2001,125
0.027317015,2001,1044
0.130426293,2001,892
0.058690416,2001,1020
0.025804802,2001,1042
1.90E-05,2001,590
0.009903806,2001,650
0.006123836,2001,627
2.04E-05,2001,913
0.021788851,2001,1023
0.00264992,2001,874
0.009749468,2001,870
0.003746671,2001,622
0.030417892,2001,874
0.117661226,2001,771
0.015074753,2001,720
0.009030347,2001,921
0.040131441,2001,1066
0.025974024,2001,1037
0.016938299,2001,667
0.023098254,2001,810
0.039967335,2001,871
0.039697746,2001,1074
0.015856246,2001,876
0.036388274,2001,599
0.035184384,2001,829
0.007144289,2001,1023
0.007468462,2001,1071
0.030199339,2001,616
0.030113625,2001,623
0.028773266,2001,725
0.027977351,2001,723
0.027382113,2001,919
1.32E-08,2001,926
0.027062272,2001,608
0.020467289,2001,721
0.000292307,2001,677
0.018828275,2001,944
0.024965503,2001,970
0.011752652,2001,675
0.024754663,2001,615
0.000463815,2001,1072
0.010545277,2001,791
0.002669331,2001,1541
0.197435763,2001,1094
0.000398096,2001,1114
0.118177309,2001,1237
0.019903899,2001,1372
0.050284964,2001,1136
0.025650531,2001,1431
0.065905937,2001,1164
0.054135636,2001,1564
0.064040908,2001,1280
0.016760967,2001,1206
0.050158278,2001,1262
0.047995941,2001,1235
0.000907602,2001,1531
0.00466678,2001,1445
0.013927278,2001,1267
3.78E-06,2001,1130
0.03015163,2001,1219
0.012187493,2001,1404
0.033128143,2001,1126
0.003371793,2001,1188
0.033371943,2001,1139
0.031700792,2001,1237
0.031880338,2001,1585
0.015858774,2001,1163
0.023000089,2001,1205
0.030172707,2001,1469
0.00022941,2001,1544
0.000454488,2001,1404
0.026402772,2001,1537
0.024819294,2001,1161
0.024941963,2001,1585
0.024706819,2001,1267
0.024810684,2001,1534
0.02402879,2001,1483
0.013605581,2001,1514
0.023282495,2001,1527
0.023125974,2001,1386
0.022552541,2001,1101
0.022601636,2001,1585
0.022489138,2001,1533
0.021643157,2001,1240
0.021777217,2001,1578
0.021559374,2001,1394
0.001140764,2001,230
0.002538621,2001,230
0.314967044,2001,380
0.324413467,2001,141
0.266956883,2001,140
0.055682192,2001,286
0.004662736,2001,287
0.271625452,2001,39
5.98E-05,2001,372
2.08E-06,2001,374
1.39E-05,2001,373
0.002870672,2001,374
0.188607015,2001,148
0.245686964,2001,528
0.010710256,2001,529
0.183094607,2001,405
0.147179807,2001,365
0.003011929,2001,171
0.160686299,2001,391
0.171746222,2001,121
0.061498302,2001,379
0.052540149,2001,300
0.052436716,2001,424
0.105420726,2001,350
0.094018947,2001,325
0.16480201,2001,83
0.008503178,2001,430
0.110113412,2001,229
0.12945939,2001,510
0.04192514,2001,429
0.028786857,2001,427
1.44E-05,2001,301
0.035534811,2001,37
0.012595674,2001,273
0.057299232,2001,240
0.003470186,2001,300
0.049260301,2001,342
0.040804906,2001,446
0.094049033,2001,518
0.000929778,2001,124
0.031958541,2001,372
0.021077901,2001,429
0.013435876,2001,226
0.058395609,2001,374
0.021101436,2001,116
0.01415021,2001,528
0.03213042,2001,272
0.011053006,2001,273
0.035781229,2001,563
0.014878373,2001,32
0.030332873,2001,390
0.043706419,2001,76
0.007205994,2001,455
0.042127614,2001,52
0.031508872,2001,325
0.010257521,2001,532
0.021758929,2001,477
0.03801047,2001,28
0.001163797,2001,563
0.046302173,2001,70
0.020802385,2001,348
0.005549777,2001,105
0.021053744,2001,131
0.025616426,2001,533
0.010946637,2001,15
0.028622827,2001,448
0.002168119,2001,26
0.02420626,2001,14
0.008492144,2001,470
2.88E-05,2001,151
7.90E-05,2001,387
0.011684903,2001,163
0.009353021,2001,392
0.01662055,2001,280
0.021792455,2001,383
0.006424018,2001,553
0.003136325,2001,400
0.002812163,2001,494
0.010349997,2001,565
0.010239815,2001,372
0.000205159,2001,293
0.01616965,2001,503
0.010912855,2001,370
0.011744056,2001,452
0.008372617,2001,389
0.000852733,2001,386
0.013429627,2001,316
0.007129724,2001,437
0.00749601,2001,324
0.005408939,2001,409
0.001229665,2001,159
8.64E-08,2001,559
0.011087046,2001,566
0.00184443,2001,317
0.001778717,2001,412
0.003028647,2001,442
0.023448086,2001,151
0.023582506,2001,51
0.003813748,2001,348
0.016504352,2001,574
0.001117515,2001,177
0.008687864,2001,120
0.013742002,2001,119
0.004798977,2001,93
0.013468945,2001,27
0.00945786,2001,174
0.000353988,2001,104
0.000275527,2001,12
0.006814805,2001,408
0.002599007,2001,138
0.777013881,2001,425
0.000510769,2001,1046
0.012358397,2001,1047
0.362617381,2001,1045
0.001944162,2001,894
0.160544054,2001,637
0.017295649,2001,973
0.238138118,2001,786
0.111706156,2001,766
0.103437947,2001,593
0.010032681,2001,668
0.005587402,2001,1022
0.125122329,2001,1021
5.03E-07,2001,1022
0.122832478,2001,1043
0.031927585,2001,1044
0.016020006,2001,626
0.003820888,2001,741
7.22E-05,2001,714
2.82E-07,2001,590
0.023971432,2001,591
0.014029932,2001,651
0.000620039,2001,659
0.017797248,2001,626
0.000600449,2001,1067
0.00175107,2001,775
0.002243235,2001,1014
0.000816938,2001,1064
0.000894407,2001,890
8.10E-05,2001,769
0.021856725,2001,914
0.000409158,2001,790
0.017693321,2001,875
0.014643424,2001,783
0.003017315,2001,661
0.018496716,2001,622
0.08362096,2001,630
7.82E-05,2001,868
0.053484961,2001,869
