areaSqKm,year,DistMark
0.000117059,2003,425
0.309328979,2003,80
0.135671426,2003,40
0.013795933,2003,420
0.175131334,2003,56
0.07388599,2003,301
0.003074857,2003,556
0.000120809,2003,424
0.018979992,2003,241
0.056168426,2003,130
0.07626731,2003,114
0.002501671,2003,43
0.015718954,2003,98
0.00220877,2003,79
0.021339328,2003,82
0.043616298,2003,482
0.012432868,2003,160
0.001343467,2003,554
0.045728444,2003,580
0.002098217,2003,438
0.043999986,2003,23
0.001688173,2003,258
0.006713391,2003,336
0.004453078,2003,300
0.006070041,2003,98
0.037858499,2003,26
0.037187928,2003,552
0.031252431,2003,229
0.032731171,2003,131
0.034711421,2003,96
0.009840276,2003,132
0.001904833,2003,59
0.030200533,2003,155
0.022321669,2003,186
0.028811444,2003,425
0.027270437,2003,335
0.027329999,2003,332
0.025807074,2003,427
0.025510791,2003,133
0.025581818,2003,568
0.025539973,2003,113
0.025486444,2003,105
0.009528735,2003,361
0.022979758,2003,377
0.024055656,2003,560
0.011525356,2003,545
0.022438835,2003,105
0.021895923,2003,371
0.021861475,2003,393
0.020924598,2003,170
0.017316978,2003,421
0.04752425,2003,921
0.060794876,2003,1057
0.041895146,2003,1043
0.039808623,2003,919
0.075548318,2003,876
0.002705109,2003,853
0.004023435,2003,877
0.046220066,2003,1037
0.032452701,2003,707
0.030611661,2003,651
0.054551527,2003,769
0.029808263,2003,1072
0.019413528,2003,709
0.000744402,2003,694
0.006863884,2003,932
0.005572402,2003,904
0.026281844,2003,904
0.040628851,2003,871
0.020511603,2003,822
0.035675378,2003,696
0.034323527,2003,1021
0.023362657,2003,689
0.031960974,2003,899
0.032051143,2003,941
0.031832644,2003,704
7.94E-05,2003,918
0.019946524,2003,705
0.005888514,2003,679
0.014507401,2003,873
0.000181328,2003,878
0.027882015,2003,682
0.020991634,2003,1020
0.058881284,2003,1039
0.249788799,2003,925
0.000166753,2003,875
0.005020879,2003,1040
0.048921733,2003,1076
0.796654092,2003,1017
0.004471037,2003,990
0.015518715,2003,1065
0.003785615,2003,814
0.015352672,2003,911
0.001688566,2003,1013
0.010611853,2003,1081
0.065552117,2003,1585
0.075361846,2003,1402
0.060052967,2003,1259
0.003684528,2003,1131
0.056091297,2003,1437
0.041921555,2003,1203
0.008221727,2003,1237
0.112198777,2003,1193
0.119221299,2003,1585
0.105978542,2003,1219
0.112103733,2003,1237
