areaSqKm,year,DistMark
0.044733114,2011,304
0.100478663,2011,403
0.002638621,2011,407
0.061520626,2011,365
0.000446924,2011,527
0.111925191,2011,394
0.050333198,2011,297
0.076776412,2011,61
0.123076783,2011,261
0.016156596,2011,357
0.046791339,2011,527
0.091874393,2011,264
0.007729077,2011,104
0.113253501,2011,371
0.082639807,2011,499
0.074064119,2011,4
0.040744977,2011,532
0.006327644,2011,284
0.028616158,2011,558
0.063102465,2011,426
0.002601311,2011,275
0.020910245,2011,389
0.018018616,2011,477
0.003053605,2011,497
0.041050127,2011,155
0.02858256,2011,81
0.033515977,2011,0
0.039643735,2011,498
0.037542272,2011,372
0.03407657,2011,143
0.033533196,2011,275
0.032836212,2011,372
0.023428274,2011,308
0.010973683,2011,265
0.005979025,2011,380
0.001184234,2011,298
0.026332531,2011,52
0.000381,2011,78
0.024080335,2011,98
0.02175563,2011,527
0.021109968,2011,262
0.000369286,2011,273
0.020052478,2011,97
0.000221349,2011,896
0.024383175,2011,876
0.011145734,2011,1024
0.05647924,2011,627
0.048430279,2011,662
0.025507329,2011,1051
0.007242773,2011,904
0.057864973,2011,1045
1.77E-05,2011,1057
0.002279131,2011,876
0.047602005,2011,724
0.000100279,2011,631
0.043566928,2011,1052
0.031512218,2011,827
0.039293584,2011,955
0.032251467,2011,848
0.022600926,2011,909
0.036807609,2011,875
0.036621113,2011,1027
0.021582659,2011,800
0.035981014,2011,909
0.032922356,2011,894
0.003563001,2011,651
0.031949255,2011,994
0.031249719,2011,831
0.002202131,2011,736
0.012821107,2011,710
0.013427424,2011,639
0.000827086,2011,905
0.025769082,2011,955
0.005793566,2011,767
0.024951254,2011,969
0.00215809,2011,630
0.005202539,2011,822
0.024032795,2011,655
0.00312452,2011,614
0.021752855,2011,691
0.021684868,2011,682
0.177946195,2011,926
0.000848606,2011,850
0.030067297,2011,674
0.102305705,2011,677
0.023616766,2011,1070
0.000139711,2011,811
4.36E-06,2011,863
0.024271207,2011,812
0.01700479,2011,802
0.125079593,2011,913
0.059542328,2011,840
0.08441201,2011,870
0.021111099,2011,958
0.000388357,2011,977
0.020707838,2011,625
0.020148599,2011,975
0.121854065,2011,1119
0.013220869,2011,1240
0.019578818,2011,1119
0.085426812,2011,1562
0.072189772,2011,1217
0.024267637,2011,1215
0.050315509,2011,1161
0.07369935,2011,1519
0.052754373,2011,1141
0.050873454,2011,1218
0.017906226,2011,1206
1.21E-05,2011,1214
0.013642234,2011,1274
0.042160603,2011,1174
0.007474535,2011,1515
0.059389025,2011,1372
0.000292638,2011,1264
0.041239493,2011,1162
0.029482021,2011,1238
0.011210069,2011,1529
0.034552653,2011,1132
0.02752695,2011,1560
0.013191086,2011,1551
0.000893501,2011,1558
0.043236845,2011,1253
0.040228674,2011,1230
0.040276848,2011,1547
0.040109478,2011,1401
0.036322158,2011,1193
0.037966811,2011,1176
5.11E-05,2011,1536
7.25E-05,2011,1486
0.035503193,2011,1234
0.035651399,2011,1537
0.028524464,2011,1228
0.034968662,2011,1552
0.033990051,2011,1232
0.007792538,2011,1471
0.032433589,2011,1263
0.031090091,2011,1562
0.02978485,2011,1293
0.01635876,2011,1514
0.01241876,2011,1158
0.010520995,2011,1160
0.012892093,2011,1572
0.027026079,2011,1268
0.027099783,2011,1497
0.027160164,2011,1544
0.026371515,2011,1495
0.02642665,2011,1545
0.026405233,2011,1547
0.025604157,2011,1557
0.024800652,2011,1231
0.024798223,2011,1234
0.024866867,2011,1563
0.000908241,2011,1516
0.00266673,2011,1519
0.02324072,2011,1472
0.006684619,2011,1432
0.022538974,2011,1538
0.022432188,2011,1463
0.021724885,2011,1189
0.005874559,2011,1430
0.020917124,2011,1220
0.020880139,2011,1241
2.37E-06,2011,1366
0.020788321,2011,1401
0.197507318,2011,1193
0.176576795,2011,1396
0.05986957,2011,1561
0.075963416,2011,1397
4.95E-05,2011,1236
0.126116676,2011,1108
0.042169036,2011,1125
0.123945741,2011,1234
