"f_year","groups","year","seg_urban_perc"
2001,"[1370,1380)",2001,0.1461170993
2001,"[1380,1390)",2001,0.2697068995
2001,"[1390,1400)",2001,0.2292444314
2001,"[1400,1410)",2001,0.3099248092
2001,"[1410,1420)",2001,0.1760766139
2001,"[1420,1430)",2001,0.0535561327
2001,"[1430,1440)",2001,0.2158918815
2001,"[1440,1450)",2001,0.1633790035
2001,"[1450,1460)",2001,0.0585860588
2001,"[1460,1470)",2001,0.0436361853
2001,"[1470,1480)",2001,0.2346027206
2001,"[1480,1490)",2001,0.1299045806
2001,"[1490,1500)",2001,0.4098491745
2002,"[0,10)",2002,0.2600194911
2002,"[10,20)",2002,0.132975937
2002,"[20,30)",2002,0.0848503579
2002,"[30,40)",2002,0.054056544
2002,"[40,50)",2002,0.0440759901
2002,"[50,60)",2002,0.0148271237
2002,"[60,70)",2002,0.0090278776
2002,"[70,80)",2002,0.0036801475
2002,"[80,90)",2002,0.0300368531
2002,"[90,100)",2002,0.1229808634
2002,"[100,110)",2002,0.0547339384
2002,"[110,120)",2002,0.0078417114
2002,"[120,130)",2002,0.0016113176
2002,"[130,140)",2002,0.0132803901
2002,"[140,150)",2002,0.3457052558
2002,"[150,160)",2002,0.3713331956
2002,"[160,170)",2002,0.0311745822
2002,"[170,180)",2002,0.0315233873
2002,"[180,190)",2002,0.0549120713
2002,"[190,200)",2002,0.0396426849
2002,"[200,210)",2002,0.0315848627
2002,"[210,220)",2002,0.0056379047
2002,"[220,230)",2002,0.012176656
2002,"[230,240)",2002,0.096406028
2002,"[240,250)",2002,0.0120374369
2002,"[250,260)",2002,0.0011695767
2002,"[260,270)",2002,0.0095169014
2002,"[270,280)",2002,0.0037594436
2002,"[280,290)",2002,0
2002,"[290,300)",2002,0.0268002061
2002,"[300,310)",2002,0.0759521226
2002,"[310,320)",2002,0
2002,"[320,330)",2002,0.0014257591
2002,"[330,340)",2002,0.00744045
2002,"[340,350)",2002,0.0099740769
2002,"[350,360)",2002,0.0013930323
2002,"[360,370)",2002,0.0936057652
2002,"[370,380)",2002,0.0484831193
2002,"[380,390)",2002,0.114949912
2002,"[390,400)",2002,0.0101356732
2002,"[400,410)",2002,0.0063285936
2002,"[410,420)",2002,0.0082094409
2002,"[420,430)",2002,0.0444167302
2002,"[430,440)",2002,0.097836882
2002,"[440,450)",2002,0.0027781009
2002,"[450,460)",2002,0.001550435
2002,"[460,470)",2002,0.0094263126
2002,"[470,480)",2002,0.0634740837
2002,"[480,490)",2002,0.0684737642
2002,"[490,500)",2002,0.0107234585
2002,"[500,510)",2002,0.0136867124
2002,"[510,520)",2002,0.0037605418
2002,"[520,530)",2002,0.0275458586
2002,"[530,540)",2002,0.0204160076
2002,"[540,550)",2002,0.000184039
2002,"[550,560)",2002,0.0009212772
2002,"[560,570)",2002,0.0565895914
2002,"[570,580)",2002,0.0748549989
2002,"[580,590)",2002,0.1554133482
2002,"[590,600)",2002,0.602186318
2002,"[600,610)",2002,0.9534252598
2002,"[610,620)",2002,0.7723715516
2002,"[620,630)",2002,0.3985178532
2002,"[630,640)",2002,0.2291639594
2002,"[640,650)",2002,0.0953236291
2002,"[650,660)",2002,0.0908969228
2002,"[660,670)",2002,0.0150693233
2002,"[670,680)",2002,0.0354315677
2002,"[680,690)",2002,0.0661476731
2002,"[690,700)",2002,0.4433162219
2002,"[700,710)",2002,0.2623474462
2002,"[710,720)",2002,0.0184655291
2002,"[720,730)",2002,0.0555237333
2002,"[730,740)",2002,0.2945007996
2002,"[740,750)",2002,0.1181992607
2002,"[750,760)",2002,0.0460774404
2002,"[760,770)",2002,0.0581109105
2002,"[770,780)",2002,0.0346779787
2002,"[780,790)",2002,0.0432958468
2002,"[790,800)",2002,0.0690461574
2002,"[800,810)",2002,0.1576236053
2002,"[810,820)",2002,0.0735472277
2002,"[820,830)",2002,0.0146585094
2002,"[830,840)",2002,0.0030444356
2002,"[840,850)",2002,0.114851001
2002,"[850,860)",2002,0.485805451
2002,"[860,870)",2002,0.2145992282
2002,"[870,880)",2002,0.024444586
2002,"[880,890)",2002,0.0631154155
2002,"[890,900)",2002,0.0129263774
2002,"[900,910)",2002,0.0261314028
2002,"[910,920)",2002,0.0480917301
2002,"[920,930)",2002,0.0171279235
2002,"[930,940)",2002,0.0056530404
2002,"[940,950)",2002,0.0109367947
2002,"[950,960)",2002,0.0044635265
2002,"[960,970)",2002,0.0160320412
2002,"[970,980)",2002,0.0092025905
2002,"[980,990)",2002,0
2002,"[990,1000)",2002,0.0023881148
2002,"[1000,1010)",2002,0.2105347446
2002,"[1010,1020)",2002,0.2386875665
2002,"[1020,1030)",2002,0.0364001356
2002,"[1030,1040)",2002,0.0005710371
2002,"[1040,1050)",2002,0.0449431256
2002,"[1050,1060)",2002,0.0056404986
2002,"[1060,1070)",2002,0.0677106069
2002,"[1070,1080)",2002,0.0178225031
2002,"[1080,1090)",2002,0
2002,"[1090,1100)",2002,0.0210503805
2002,"[1100,1110)",2002,0.1443499605
2002,"[1110,1120)",2002,0.1842621914
2002,"[1120,1130)",2002,0.0058377985
2002,"[1130,1140)",2002,0
2002,"[1140,1150)",2002,0.000187843
2002,"[1150,1160)",2002,0.0352855305
2002,"[1160,1170)",2002,0.0215615104
2002,"[1170,1180)",2002,0.0085763224
2002,"[1180,1190)",2002,0.0196685684
2002,"[1190,1200)",2002,0.0544106389
2002,"[1200,1210)",2002,0.4134920135
2002,"[1210,1220)",2002,0.4885319725
2002,"[1220,1230)",2002,0.1896837666
2002,"[1230,1240)",2002,0.0352233654
2002,"[1240,1250)",2002,0.244984107
2002,"[1250,1260)",2002,0.4454656443
2002,"[1260,1270)",2002,0.1902187175
2002,"[1270,1280)",2002,0.1117910744
2002,"[1280,1290)",2002,0.3434609457
2002,"[1290,1300)",2002,0.4904224574
2002,"[1300,1310)",2002,0.7226649223
2002,"[1310,1320)",2002,0.5781641132
2002,"[1320,1330)",2002,0.3272980611
2002,"[1330,1340)",2002,0.2123486877
2002,"[1340,1350)",2002,0.1058567621
2002,"[1350,1360)",2002,0.2357021788
2002,"[1360,1370)",2002,0.0849213253
2002,"[1370,1380)",2002,0.1483392122
2002,"[1380,1390)",2002,0.2699063566
2002,"[1390,1400)",2002,0.2301229416
2002,"[1400,1410)",2002,0.3167681605
2002,"[1410,1420)",2002,0.1828800603
2002,"[1420,1430)",2002,0.0575393966
2002,"[1430,1440)",2002,0.2200160024
2002,"[1440,1450)",2002,0.1692994146
2002,"[1450,1460)",2002,0.0667971892
2002,"[1460,1470)",2002,0.0440744358
2002,"[1470,1480)",2002,0.2434243399
2002,"[1480,1490)",2002,0.1353266603
2002,"[1490,1500)",2002,0.4176751351
2003,"[0,10)",2003,0.2640617911
2003,"[10,20)",2003,0.1465338725
2003,"[20,30)",2003,0.0893137178
2003,"[30,40)",2003,0.0567745453
2003,"[40,50)",2003,0.049058943
2003,"[50,60)",2003,0.0184527531
2003,"[60,70)",2003,0.0090278776
2003,"[70,80)",2003,0.0036801474
2003,"[80,90)",2003,0.0300368531
2003,"[90,100)",2003,0.1255520986
2003,"[100,110)",2003,0.0572983883
2003,"[110,120)",2003,0.0078417114
2003,"[120,130)",2003,0.0016113176
2003,"[130,140)",2003,0.0132803901
2003,"[140,150)",2003,0.3468542952
2003,"[150,160)",2003,0.3917145254
2003,"[160,170)",2003,0.033963309
2003,"[170,180)",2003,0.0354641561
2003,"[180,190)",2003,0.0598964833
2003,"[190,200)",2003,0.0414097765
2003,"[200,210)",2003,0.0326855617
2003,"[210,220)",2003,0.0056379047
2003,"[220,230)",2003,0.012176656
2003,"[230,240)",2003,0.0985679772
2003,"[240,250)",2003,0.0120374369
2003,"[250,260)",2003,0.0011695767
2003,"[260,270)",2003,0.0095169014
2003,"[270,280)",2003,0.0037594436
2003,"[280,290)",2003,0
2003,"[290,300)",2003,0.0268002061
2003,"[300,310)",2003,0.0759521227
2003,"[310,320)",2003,0
2003,"[320,330)",2003,0.0014257591
2003,"[330,340)",2003,0.00744045
2003,"[340,350)",2003,0.0099740769
2003,"[350,360)",2003,0.0013930323
2003,"[360,370)",2003,0.09516815
2003,"[370,380)",2003,0.0495652261
2003,"[380,390)",2003,0.1162464335
2003,"[390,400)",2003,0.0101356732
2003,"[400,410)",2003,0.0063285936
2003,"[410,420)",2003,0.0082205398
2003,"[420,430)",2003,0.0444167302
2003,"[430,440)",2003,0.097836882
2003,"[440,450)",2003,0.0027781009
2003,"[450,460)",2003,0.0015504351
2003,"[460,470)",2003,0.0094263126
2003,"[470,480)",2003,0.0634740837
2003,"[480,490)",2003,0.0684737642
2003,"[490,500)",2003,0.0107040167
2003,"[500,510)",2003,0.0136705985
2003,"[510,520)",2003,0.0037605418
2003,"[520,530)",2003,0.0275458586
2003,"[530,540)",2003,0.0204160077
2003,"[540,550)",2003,0.000184039
2003,"[550,560)",2003,0.0009212772
2003,"[560,570)",2003,0.0579206004
2003,"[570,580)",2003,0.0786708978
2003,"[580,590)",2003,0.1563914084
2003,"[590,600)",2003,0.6062776175
2003,"[600,610)",2003,0.9538171223
2003,"[610,620)",2003,0.77675009
2003,"[620,630)",2003,0.4013931749
2003,"[630,640)",2003,0.2423373369
2003,"[640,650)",2003,0.0986948351
2003,"[650,660)",2003,0.0908969228
2003,"[660,670)",2003,0.0150693233
2003,"[670,680)",2003,0.0354315677
2003,"[680,690)",2003,0.0674560059
2003,"[690,700)",2003,0.4497291169
2003,"[700,710)",2003,0.2721223475
2003,"[710,720)",2003,0.0195277122
2003,"[720,730)",2003,0.0557305865
2003,"[730,740)",2003,0.2957327976
2003,"[740,750)",2003,0.1202138994
2003,"[750,760)",2003,0.0470298065
2003,"[760,770)",2003,0.0581109106
2003,"[770,780)",2003,0.0346779787
2003,"[780,790)",2003,0.0441772056
2003,"[790,800)",2003,0.071229693
2003,"[800,810)",2003,0.1576236053
2003,"[810,820)",2003,0.0735472277
2003,"[820,830)",2003,0.0146585094
2003,"[830,840)",2003,0.0030444355
2003,"[840,850)",2003,0.1162795365
2003,"[850,860)",2003,0.4892833243
2003,"[860,870)",2003,0.2147951545
2003,"[870,880)",2003,0.0246510057
2003,"[880,890)",2003,0.0651534402
2003,"[890,900)",2003,0.0133496451
2003,"[900,910)",2003,0.0267559091
2003,"[910,920)",2003,0.0521620522
2003,"[920,930)",2003,0.0182410148
2003,"[930,940)",2003,0.0056530404
2003,"[940,950)",2003,0.0109367947
2003,"[950,960)",2003,0.0044635266
2003,"[960,970)",2003,0.0160320412
2003,"[970,980)",2003,0.0092025905
2003,"[980,990)",2003,0
2003,"[990,1000)",2003,0.0023881148
2003,"[1000,1010)",2003,0.2107205121
2003,"[1010,1020)",2003,0.2396706643
2003,"[1020,1030)",2003,0.0363401692
2003,"[1030,1040)",2003,0.0005710371
2003,"[1040,1050)",2003,0.0449431255
2003,"[1050,1060)",2003,0.0056404986
2003,"[1060,1070)",2003,0.0696126964
2003,"[1070,1080)",2003,0.0224867944
2003,"[1080,1090)",2003,0.0019632871
2003,"[1090,1100)",2003,0.0216646862
2003,"[1100,1110)",2003,0.1454270654
2003,"[1110,1120)",2003,0.1846914657
2003,"[1120,1130)",2003,0.0058377985
2003,"[1130,1140)",2003,0
2003,"[1140,1150)",2003,0.000187843
2003,"[1150,1160)",2003,0.0366007496
2003,"[1160,1170)",2003,0.0277000319
2003,"[1170,1180)",2003,0.0150084947
2003,"[1180,1190)",2003,0.0206173481
2003,"[1190,1200)",2003,0.0546463025
2003,"[1200,1210)",2003,0.4238179018
