f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2000,2000,"[870,880)",0.267148379,0.015962026,88,0.059749665
2000,2000,"[880,890)",0.04836751,0.006652624,89,0.137543245
2000,2000,"[890,900)",0.289540437,0.01596707,90,0.055146253
2000,2000,"[900,910)",0.404690503,0.040513391,91,0.100109568
2000,2000,"[910,920)",0.118693422,0.006807616,92,0.057354622
2000,2000,"[920,930)",0.417695536,0.037367871,93,0.089461983
2000,2000,"[930,940)",0.264952252,0.04027981,94,0.152026674
2000,2000,"[940,950)",0.024367642,0.001678962,95,0.068901292
2000,2000,"[950,960)",0.204651141,0.007655734,96,0.037408705
2000,2000,"[960,970)",0.357196337,0.024123638,97,0.067536074
2000,2000,"[970,980)",0.172043761,0.024895581,98,0.144704935
2000,2000,"[980,990)",0.481198975,0.143204807,99,0.297599984
2000,2000,"[990,1000)",0.691896247,0.097660295,100,0.141148757
2000,2000,"[1000,1010)",0.017239769,7.79E-05,101,0.004516847
2000,2000,"[1010,1020)",0.780398497,0.143106504,102,0.183376191
2000,2000,"[1020,1030)",0.257680386,0.04868383,103,0.188931067
2000,2000,"[1030,1040)",0.061501518,0.000778575,104,0.012659445
2000,2000,"[1040,1050)",0.26439609,0.004120502,105,0.015584579
2000,2000,"[1050,1060)",0.17946496,0.018831359,106,0.104930561
2000,2000,"[1060,1070)",0.533601316,0.044588624,107,0.083561683
2000,2000,"[1070,1080)",0.427217928,0.131642034,108,0.308137898
2000,2000,"[1080,1090)",0.044586535,0.025668755,109,0.575706427
2000,2000,"[1090,1100)",0.336878316,0.081359895,110,0.241511226
2000,2000,"[1100,1110)",0.05075935,0.002952697,111,0.058170512
2000,2000,"[1110,1120)",0.28479665,0.028906321,112,0.101498106
2000,2000,"[1120,1130)",0.186972015,0.029928774,113,0.160070876
2000,2000,"[1130,1140)",0.673062571,0.234155313,114,0.347895312
2000,2000,"[1140,1150)",0.19748671,0.073547189,115,0.372415893
2000,2000,"[1150,1160)",0.016259645,0.001241335,116,0.076344552
2000,2000,"[1160,1170)",0.634621697,0.168276005,117,0.265159552
2000,2000,"[1170,1180)",0.277661266,0.132033123,118,0.475518695
2000,2000,"[1180,1190)",0.046269269,0.016242868,119,0.351050896
2000,2000,"[1190,1200)",0.214419348,0.045840552,120,0.213789253
2000,2000,"[1200,1210)",0.059997072,0.020783274,121,0.346404811
2000,2000,"[1210,1220)",0.171766396,0.031102841,122,0.181076401
2000,2000,"[1220,1230)",0.181657909,0.031675795,123,0.174370582
2000,2000,"[1230,1240)",0.310763206,0.058303284,124,0.187613214
2000,2000,"[1240,1250)",0.225119027,0.044523976,125,0.197779713
2000,2000,"[1250,1260)",0.406710285,0.189171507,126,0.465125949
2000,2000,"[1260,1270)",0.252339196,0.068882129,127,0.272974355
2000,2000,"[1270,1280)",0.162759012,0.077745592,128,0.477673039
2000,2000,"[1280,1290)",0.154587038,0.059313388,129,0.383689271
2000,2000,"[1290,1300)",0.017492607,0.005389331,130,0.308091947
2000,2000,"[1300,1310)",0.042881065,0.007460743,131,0.173986879
2000,2000,"[1310,1320)",0.127117959,0.054925184,132,0.432080443
2000,2000,"[1320,1330)",0.013985342,0.002307503,133,0.164994411
2000,2000,"[1330,1340)",0.04469084,0.012465102,134,0.278918503
2000,2000,"[1340,1350)",0.050336631,0.008849128,135,0.17579897
2000,2000,"[1350,1360)",0.004767095,0.00084658,136,0.177588272
2000,2000,"[1360,1370)",0.047437668,0.025024625,137,0.527526447
2000,2000,"[1370,1380)",0.148202534,0.069084506,138,0.466149292
2000,2000,"[1380,1390)",0.098976296,0.035972452,139,0.363445125
2000,2000,"[1390,1400)",0.345109672,0.199597513,140,0.578359662
2000,2000,"[1400,1410)",0.257157659,0.077107674,141,0.299845918
2000,2000,"[1410,1420)",0.007368229,0.001002224,142,0.136019694
2000,2000,"[1420,1430)",0.053890418,0.009786744,143,0.181604527
2000,2000,"[1430,1440)",0.095357413,0.031913048,144,0.334667723
2000,2000,"[1440,1450)",0.018144548,0.006482093,145,0.357247403
2000,2000,"[1460,1470)",0.142089702,0.061027728,147,0.429501414
2000,2000,"[1470,1480)",0.037558682,0.006968112,148,0.185525994
2000,2000,"[1480,1490)",0.002589348,0,149,0
2000,2000,"[1490,1500)",0.014609219,0.002713366,150,0.18572968
2001,2001,"[0,10)",0.065218753,0.00370096,1,0.056746862
2001,2001,"[10,20)",0.15979239,0.008714327,2,0.054535309
2001,2001,"[20,30)",0.015979037,0.001158099,3,0.072476118
2001,2001,"[30,40)",0.050739625,0.003709758,4,0.073113625
2001,2001,"[40,50)",0.103670278,0,5,0
2001,2001,"[50,60)",0.068079157,0,6,0
2001,2001,"[60,70)",0.404932923,0,7,0
2001,2001,"[70,80)",0.217752271,0.002863369,8,0.013149663
2001,2001,"[80,90)",0.16145399,0.0008505,9,0.005267752
2001,2001,"[90,100)",0.012182212,0.000154623,10,0.012692531
