distMark,year,f_year,urban_perc
0,2001,2001,0.286787967
1,2001,2001,0.247210383
2,2001,2001,0.241042261
3,2001,2001,0.234005209
4,2001,2001,0.235663968
5,2001,2001,0.242750953
6,2001,2001,0.257785414
7,2001,2001,0.271430722
8,2001,2001,0.276532372
9,2001,2001,0.254195616
10,2001,2001,0.224988874
11,2001,2001,0.198827221
12,2001,2001,0.166269232
13,2001,2001,0.143768126
14,2001,2001,0.121615931
15,2001,2001,0.111040785
16,2001,2001,0.095345639
17,2001,2001,0.08682391
18,2001,2001,0.086978691
19,2001,2001,0.078380784
20,2001,2001,0.067814081
21,2001,2001,0.067692835
22,2001,2001,0.076873718
23,2001,2001,0.085813244
24,2001,2001,0.089388767
25,2001,2001,0.089548848
26,2001,2001,0.089229236
27,2001,2001,0.089388746
28,2001,2001,0.089229236
29,2001,2001,0.089229225
30,2001,2001,0.087757881
31,2001,2001,0.085813234
32,2001,2001,0.073299135
33,2001,2001,0.06246075
34,2001,2001,0.046565959
35,2001,2001,0.031002418
36,2001,2001,0.020394587
37,2001,2001,0.027862408
38,2001,2001,0.046351101
39,2001,2001,0.048027742
40,2001,2001,0.047675477
41,2001,2001,0.047414647
42,2001,2001,0.047414647
43,2001,2001,0.047501271
44,2001,2001,0.048116627
45,2001,2001,0.048565983
46,2001,2001,0.048565983
47,2001,2001,0.046698166
48,2001,2001,0.034712981
49,2001,2001,0.023283004
50,2001,2001,0.01611884
51,2001,2001,0.016118844
52,2001,2001,0.016176706
53,2001,2001,0.014457257
54,2001,2001,0.014562524
55,2001,2001,0.014642197
56,2001,2001,0.01635293
57,2001,2001,0.018006057
58,2001,2001,0.01264999
59,2001,2001,0.009019409
60,2001,2001,0.009118104
61,2001,2001,0.009151489
62,2001,2001,0.009253125
63,2001,2001,0.009374563
64,2001,2001,0.009499225
65,2001,2001,0.009535454
66,2001,2001,0.009535456
67,2001,2001,0.009517309
68,2001,2001,0.009463271
69,2001,2001,0.005677836
70,2001,2001,0.003778157
71,2001,2001,0.003771035
72,2001,2001,0.003806924
73,2001,2001,0.003865792
74,2001,2001,0.003926513
75,2001,2001,0.003926504
76,2001,2001,0.003926502
77,2001,2001,0.003903507
78,2001,2001,0.003880771
79,2001,2001,0.001929155
80,2001,2001,0
81,2001,2001,0.001921739
82,2001,2001,0.003873252
83,2001,2001,0.007761531
84,2001,2001,0.021385608
85,2001,2001,0.029276112
86,2001,2001,0.033114964
87,2001,2001,0.048228813
88,2001,2001,0.067003285
89,2001,2001,0.087391641
90,2001,2001,0.118784882
91,2001,2001,0.127251589
92,2001,2001,0.126072043
93,2001,2001,0.12124002
94,2001,2001,0.120796253
95,2001,2001,0.119918317
96,2001,2001,0.12285141
97,2001,2001,0.125606776
98,2001,2001,0.125374917
99,2001,2001,0.121912427
100,2001,2001,0.101217637
101,2001,2001,0.080678538
102,2001,2001,0.071250843
103,2001,2001,0.054708976
104,2001,2001,0.042020492
105,2001,2001,0.040415057
106,2001,2001,0.040340914
107,2001,2001,0.040120187
108,2001,2001,0.04004718
109,2001,2001,0.03653956
110,2001,2001,0.021803911
111,2001,2001,0.012765539
112,2001,2001,0.012812275
113,2001,2001,0.012788868
114,2001,2001,0.012765544
115,2001,2001,0.005480977
116,2001,2001,0
117,2001,2001,0
118,2001,2001,0
119,2001,2001,0
120,2001,2001,0
121,2001,2001,0.001807142
122,2001,2001,0.001807141
123,2001,2001,0.001800632
124,2001,2001,0.001803878
125,2001,2001,0.001790955
126,2001,2001,0.001781383
127,2001,2001,0.001778217
128,2001,2001,0.001771914
129,2001,2001,0.001771914
130,2001,2001,0.001765657
131,2001,2001,0.00176878
132,2001,2001,0.001778214
133,2001,2001,0.00178456
134,2001,2001,0.001794167
135,2001,2001,0
136,2001,2001,0.00181699
137,2001,2001,0.007307793
138,2001,2001,0.040488581
139,2001,2001,0.074299159
140,2001,2001,0.120218491
141,2001,2001,0.165600214
142,2001,2001,0.224846352
143,2001,2001,0.28689288
144,2001,2001,0.353718278
145,2001,2001,0.410910477
146,2001,2001,0.446257406
147,2001,2001,0.470152728
148,2001,2001,0.479746888
149,2001,2001,0.498708844
150,2001,2001,0.509260377
151,2001,2001,0.502540409
152,2001,2001,0.48803324
153,2001,2001,0.466733271
154,2001,2001,0.422787598
155,2001,2001,0.372148231
156,2001,2001,0.317545029
157,2001,2001,0.273054086
158,2001,2001,0.208817174
159,2001,2001,0.148601847
160,2001,2001,0.094737814
161,2001,2001,0.065135844
162,2001,2001,0.033560621
163,2001,2001,0.016717347
164,2001,2001,0.01681103
165,2001,2001,0.016874062
166,2001,2001,0.016937578
167,2001,2001,0.016969347
168,2001,2001,0.016969015
169,2001,2001,0.017033164
170,2001,2001,0.017065447
171,2001,2001,0.017033113
172,2001,2001,0.017033105
173,2001,2001,0.018890006
174,2001,2001,0.018962295
175,2001,2001,0.028551533
176,2001,2001,0.041638354
177,2001,2001,0.051005332
178,2001,2001,0.050245986
179,2001,2001,0.054808702
180,2001,2001,0.059528403
181,2001,2001,0.062571131
182,2001,2001,0.064015121
183,2001,2001,0.064015263
184,2001,2001,0.063901727
185,2001,2001,0.063901694
186,2001,2001,0.064015344
187,2001,2001,0.045906626
188,2001,2001,0.033311877
189,2001,2001,0.027953527
190,2001,2001,0.022751667
191,2001,2001,0.021075231
192,2001,2001,0.021038277
193,2001,2001,0.029857581
194,2001,2001,0.051024029
195,2001,2001,0.052969753
196,2001,2001,0.049525843
197,2001,2001,0.051568292
198,2001,2001,0.049967788
199,2001,2001,0.046648388
200,2001,2001,0.045178466
201,2001,2001,0.045424733
202,2001,2001,0.045841196
203,2001,2001,0.046179896
204,2001,2001,0.046351145
205,2001,2001,0.04063831
206,2001,2001,0.027708039
207,2001,2001,0.012954363
208,2001,2001,0
209,2001,2001,0.005572479
210,2001,2001,0.005562147
211,2001,2001,0.005562144
212,2001,2001,0.005572477
213,2001,2001,0.00561419
214,2001,2001,0.005656528
215,2001,2001,0.005699517
216,2001,2001,0.005710365
217,2001,2001,0.005667213
218,2001,2001,0.005656527
219,2001,2001,0.005677939
220,2001,2001,0.005721252
221,2001,2001,0.003850888
222,2001,2001,0
223,2001,2001,0
224,2001,2001,0
225,2001,2001,0
226,2001,2001,0.002064579
227,2001,2001,0.006232342
228,2001,2001,0.037009243
229,2001,2001,0.064861336
230,2001,2001,0.093558621
231,2001,2001,0.115378828
232,2001,2001,0.11597364
233,2001,2001,0.115083862
234,2001,2001,0.095902869
235,2001,2001,0.083925184
236,2001,2001,0.082944839
237,2001,2001,0.083273706
238,2001,2001,0.084615839
239,2001,2001,0.073716001
240,2001,2001,0.055286624
241,2001,2001,0.030038358
242,2001,2001,0.009893918
243,2001,2001,0.005743153
244,2001,2001,0.003799672
245,2001,2001,0.001910727
246,2001,2001,0.001947953
247,2001,2001,0
248,2001,2001,0
249,2001,2001,0
250,2001,2001,0
251,2001,2001,0
252,2001,2001,0
253,2001,2001,0
254,2001,2001,0
255,2001,2001,0
256,2001,2001,0
257,2001,2001,0
258,2001,2001,0.001974882
259,2001,2001,0.009720885
260,2001,2001,0.009627281
261,2001,2001,0.009553693
262,2001,2001,0.009409848
263,2001,2001,0.009270278
264,2001,2001,0.009339546
265,2001,2001,0.009374564
266,2001,2001,0.009445401
267,2001,2001,0.009571974
268,2001,2001,0.00970199
269,2001,2001,0.009874439
270,2001,2001,0.010073381
271,2001,2001,0.009874446
272,2001,2001,0.009854982
273,2001,2001,0.007791627
274,2001,2001,0
275,2001,2001,0
276,2001,2001,0
277,2001,2001,0
278,2001,2001,0
279,2001,2001,0
280,2001,2001,0
281,2001,2001,0
282,2001,2001,0
283,2001,2001,0
284,2001,2001,0
285,2001,2001,0
286,2001,2001,0
287,2001,2001,0
288,2001,2001,0
289,2001,2001,0
290,2001,2001,0
291,2001,2001,0
292,2001,2001,0
293,2001,2001,0
294,2001,2001,0
295,2001,2001,0.003742565
296,2001,2001,0.023922971
297,2001,2001,0.049595549
298,2001,2001,0.082811732
299,2001,2001,0.107929244
300,2001,2001,0.109588778
301,2001,2001,0.109999402
302,2001,2001,0.109794936
303,2001,2001,0.110411593
304,2001,2001,0.105787511
305,2001,2001,0.095172067
306,2001,2001,0.070968317
307,2001,2001,0.036442743
308,2001,2001,0.011355879
309,2001,2001,0
310,2001,2001,0
311,2001,2001,0
312,2001,2001,0
313,2001,2001,0
314,2001,2001,0
315,2001,2001,0
316,2001,2001,0
317,2001,2001,0
318,2001,2001,0
319,2001,2001,0
320,2001,2001,0
321,2001,2001,0
322,2001,2001,0
323,2001,2001,0
324,2001,2001,0
325,2001,2001,0
326,2001,2001,0.003550128
327,2001,2001,0.003562777
328,2001,2001,0.00356277
329,2001,2001,0.003581916
330,2001,2001,0.003601267
331,2001,2001,0.003620828
332,2001,2001,0.003660593
333,2001,2001,0.003694402
334,2001,2001,0.005688718
335,2001,2001,0.007599368
336,2001,2001,0.011355899
337,2001,2001,0.011377432
