"groups","p_value","p_cate","r_squared","slope"
"[1250,1260)",0.057,"0.057",0.235,-0.098
"[1260,1270)",0.12,"0.12",0.164,-0.082
"[1270,1280)",0.055,"0.055",0.239,-0.069
"[1280,1290)",0.04,"<0.05",0.285,-0.062
"[1290,1300)",0.029,"<0.05",0.315,0.02
"[1300,1310)",0.184,"0.184",0.209,-0.03
"[1310,1320)",0.003,"<0.01",0.51,-0.08
"[1320,1330)",0.495,"0.495",0.043,-0.005
"[1330,1340)",0.025,"<0.05",0.411,-0.023
"[1340,1350)",0.167,"0.167",0.142,-0.009
"[1350,1360)",0.281,"0.281",0.128,-0.001
"[1360,1370)",0.102,"0.102",0.192,-0.031
"[1370,1380)",0.026,"<0.05",0.306,-0.07
"[1380,1390)",0.138,"0.138",0.174,-0.029
"[1390,1400)",0.053,"0.053",0.241,-0.134
"[1400,1410)",0.02,"<0.05",0.331,-0.089
"[1410,1420)",0.088,"0.088",0.409,-0.002
"[1420,1430)",0.353,"0.353",0.062,-0.018
"[1430,1440)",0.672,"0.672",0.014,-0.012
"[1440,1450)",0.695,"0.695",0.013,-0.002
