GRIDCODE,POLY_AREA,year,DistMark
1,0.001562559,2011,364
1,0.000781277,2011,364
1,0.003906402,2011,364
1,0.000781282,2011,364
1,0.001562555,2011,364
1,0.008594033,2011,364
1,0.000781273,2011,364
1,0.00078127,2011,364
1,0.000781267,2011,364
1,0.00156252,2011,364
1,0.109133621,2011,364
1,0.000781254,2011,364
1,0.003124938,2011,363
1,0.005468409,2011,366
1,0.003905877,2011,366
1,0.000781163,2011,380
1,0.001562322,2011,380
1,0.001583274,2011,379
1,0.000781149,2011,379
1,0.000781144,2011,379
1,0.000781097,2011,368
1,0.00078108,2011,368
1,0.000781072,2011,368
1,0.000781105,2011,381
1,0.037965286,2011,381
1,0.001512697,2011,383
1,0.000781051,2011,383
1,0.001561758,2011,342
1,0.00078086,2011,340
1,0.01405777,2011,369
1,0.001561947,2011,369
1,0.000780842,2011,340
1,0.002342508,2011,340
1,0.004685786,2011,370
1,0.014798039,2011,343
1,0.000780861,2011,343
1,0.000780833,2011,340
1,0.000780956,2011,370
1,0.000780851,2011,343
1,0.003123403,2011,343
1,0.000780951,2011,370
1,0.001561708,2011,343
1,0.000780844,2011,343
1,0.073346102,2011,383
1,0.001561678,2011,343
1,0.009370107,2011,343
1,0.003123353,2011,343
1,0.000703224,2011,384
1,0.001561612,2011,339
1,0.000780829,2011,343
1,0.001561595,2011,339
1,0.00078079,2011,339
1,0.015619871,2011,384
1,0.000780984,2011,384
1,0.003904893,2011,384
1,0.019524196,2011,384
1,0.000503954,2011,385
1,0.001561558,2011,344
1,0.024990066,2011,385
1,0.001561744,2011,375
1,0.014053682,2011,344
1,0.002342236,2011,344
1,0.000780861,2011,375
1,0.000780859,2011,375
1,0.000600459,2011,345
1,0.000780855,2011,375
1,0.000780853,2011,375
1,0.059351208,2011,374
1,0.004684746,2011,372
1,0.002342354,2011,372
1,0.000780779,2011,372
1,0.00234232,2011,372
1,0.102919848,2011,386
1,0.000780786,2011,374
1,0.003903807,2011,372
1,0.000780777,2011,374
1,0.000780775,2011,374
1,0.00078077,2011,374
1,0.002342301,2011,374
1,0.000780765,2011,374
1,0.00078067,2011,347
1,0.000685015,2011,374
1,0.00078076,2011,373
1,0.000780668,2011,347
1,0.00156133,2011,347
1,0.000780666,2011,347
1,0.000780662,2011,347
1,0.002341992,2011,347
1,0.000780664,2011,347
1,0.00156132,2011,347
1,0.002341973,2011,347
1,0.011481657,2011,347
1,0.001561309,2011,348
1,0.000780645,2011,348
1,0.003122572,2011,348
1,0.019043791,2011,348
1,0.00078064,2011,348
1,0.000780638,2011,348
1,0.003122534,2011,348
1,0.000780625,2011,348
1,0.000780622,2011,348
1,0.00078062,2011,348
1,0.002341864,2011,348
1,0.000346063,2011,349
1,0.001561235,2011,349
1,0.001561229,2011,349
1,0.00156151,2011,388
1,0.003123019,2011,388
1,0.215689981,2011,388
1,0.002342208,2011,388
1,0.000780568,2011,349
1,0.000780691,2011,390
1,1.56E-05,2011,390
1,0.000780389,2011,333
1,0.459673822,2011,390
1,0.058528342,2011,333
1,0.000780588,2011,391
1,0.051410426,2011,392
1,0.001561122,2011,392
