GRIDCODE,POLY_AREA,year,DistMark
1,0.00078128,2009,364
1,0.000781279,2009,364
1,0.001562554,2009,364
1,0.002343833,2009,364
1,0.014062902,2009,364
1,0.013209805,2009,365
1,0.002343634,2009,365
1,0.003260912,2009,366
1,0.000781244,2009,380
1,0.014061754,2009,366
1,0.007030748,2009,366
1,0.000781223,2009,380
1,0.003905933,2009,366
1,0.00234352,2009,366
1,0.000151411,2009,367
1,0.000781199,2009,380
1,0.000781192,2009,379
1,0.000781187,2009,379
1,0.001562368,2009,379
1,0.000781179,2009,379
1,0.002343436,2009,367
1,0.004686822,2009,367
1,0.00078113,2009,367
1,0.000781126,2009,367
1,0.003124676,2009,381
1,0.002343497,2009,381
1,0.00468669,2009,367
1,0.00156232,2009,381
1,0.000781157,2009,381
1,0.000781158,2009,381
1,0.003692429,2009,368
1,0.000781097,2009,368
1,0.00078115,2009,382
1,0.001562189,2009,368
1,0.000781148,2009,382
1,0.002343264,2009,368
1,0.001562165,2009,368
1,0.001562161,2009,368
1,0.002343234,2009,368
1,0.00546751,2009,368
1,0.021869742,2009,368
1,0.000781058,2009,368
1,0.000781055,2009,368
1,0.000781054,2009,368
1,0.002343148,2009,368
1,0.000781049,2009,368
1,0.000781107,2009,382
1,0.003124176,2009,368
1,0.002365114,2009,369
1,0.001740913,2009,369
1,0.000776626,2009,369
1,0.001562196,2009,383
1,0.001562064,2009,369
1,0.001562059,2009,369
1,0.00156206,2009,369
1,0.000781083,2009,382
1,0.000781028,2009,369
1,0.000781028,2009,369
1,0.001562049,2009,369
1,0.00156205,2009,369
1,0.001562052,2009,369
1,0.001562044,2009,369
1,0.000781019,2009,369
1,0.000781011,2009,369
1,0.009372106,2009,369
1,0.000781073,2009,383
1,0.000781071,2009,383
1,0.000780997,2009,369
1,0.004685994,2009,369
1,0.243332059,2009,382
1,0.000781058,2009,384
1,0.000781055,2009,384
1,0.000781053,2009,384
1,0.000781051,2009,384
1,0.000781048,2009,384
1,0.014838723,2009,369
1,0.001562092,2009,384
1,0.000781044,2009,384
1,0.00156193,2009,370
1,0.003124145,2009,384
1,0.000780956,2009,370
1,0.000780951,2009,370
1,0.000781028,2009,384
1,0.000781026,2009,384
1,0.000781021,2009,384
1,0.000780837,2009,343
1,0.000781019,2009,384
1,0.000707241,2009,385
1,0.000781011,2009,385
1,0.001562019,2009,385
1,0.000781008,2009,385
1,0.000780798,2009,339
1,0.003123186,2009,339
1,0.001561896,2009,376
1,0.000781,2009,385
1,0.000780999,2009,385
1,0.001561961,2009,384
1,0.000780937,2009,376
1,0.000780989,2009,385
1,0.069239242,2009,384
1,0.000780982,2009,385
1,0.000780975,2009,385
1,0.000780973,2009,385
1,0.00234273,2009,376
1,0.000503954,2009,385
1,0.000780952,2009,385
1,0.002980841,2009,375
1,0.000780962,2009,386
1,0.004685372,2009,375
1,0.000780958,2009,386
1,0.000780943,2009,385
1,0.000780942,2009,385
1,0.000780938,2009,385
1,0.000780951,2009,386
1,0.000780949,2009,386
1,0.00078088,2009,375
1,0.006247046,2009,375
1,0.028894788,2009,385
1,0.008589602,2009,375
1,0.00156174,2009,375
1,0.000780938,2009,386
1,0.000148883,2009,372
1,0.002342795,2009,386
1,0.00156169,2009,372
1,0.001561684,2009,372
1,0.000780925,2009,386
1,0.000780923,2009,386
1,0.032015245,2009,375
1,0.000780921,2009,386
1,0.051210152,2009,385
1,7.47E-05,2009,385
1,0.008589206,2009,372
