GRIDCODE,POLY_AREA,year,DistMark
1,0.007807089,2007,364
1,0.00078122,2007,363
1,0.000781226,2007,365
1,0.000781223,2007,365
1,0.001562448,2007,365
1,9.97E-05,2007,366
1,0.002343665,2007,365
1,0.00468735,2007,365
1,0.000267507,2007,366
1,0.001562436,2007,365
1,0.005468563,2007,365
1,0.002860063,2007,366
1,0.000781216,2007,366
1,0.084628011,2007,363
1,0.001562362,2007,366
1,0.001664984,2007,367
1,0.000781163,2007,367
1,0.001562308,2007,367
1,0.000781124,2007,367
1,0.003124468,2007,367
1,0.00078111,2007,367
1,0.001562215,2007,367
1,0.003334997,2007,368
1,0.003905664,2007,382
1,0.000781098,2007,381
1,0.00078111,2007,382
1,0.178481382,2007,381
1,0.002343225,2007,382
1,0.022900892,2007,369
1,0.002343057,2007,369
1,0.000781078,2007,383
1,0.004686053,2007,369
1,0.000781007,2007,369
1,0.000781075,2007,383
1,0.000781073,2007,383
1,0.000781003,2007,369
1,0.000781071,2007,383
1,0.00156176,2007,342
1,0.000780881,2007,342
1,0.004685293,2007,342
1,0.000780882,2007,342
1,0.001562093,2007,382
1,0.001562095,2007,383
1,0.000780875,2007,341
1,0.001562083,2007,383
1,0.005466147,2007,342
1,0.020754585,2007,383
1,0.000781034,2007,383
1,0.000781032,2007,383
1,0.001562069,2007,383
1,0.000781033,2007,383
1,0.000781028,2007,383
1,0.00156206,2007,383
1,0.000780839,2007,340
1,0.001562049,2007,383
1,0.001562052,2007,383
1,0.001561668,2007,340
1,0.002342507,2007,340
1,0.000780835,2007,340
1,0.000692774,2007,339
1,0.000781021,2007,383
1,0.000780831,2007,340
1,0.000780829,2007,340
1,0.001562032,2007,383
1,0.000780826,2007,339
1,0.007405233,2007,339
1,0.000265006,2007,339
1,0.000781014,2007,383
1,0.000780823,2007,339
1,0.000780823,2007,339
1,0.001561642,2007,339
1,0.004684904,2007,339
1,0.000780964,2007,376
1,0.001561617,2007,339
1,0.007808116,2007,339
1,0.032869377,2007,383
1,0.000780956,2007,376
1,0.0007808,2007,339
1,0.001561905,2007,376
1,0.001561644,2007,343
1,0.019519992,2007,339
1,0.024205662,2007,343
1,0.000780945,2007,376
1,0.003123259,2007,343
1,0.000780786,2007,339
1,0.001561566,2007,339
1,0.000129789,2007,344
1,0.000780772,2007,339
1,0.012492817,2007,344
1,0.000780768,2007,339
1,0.050750373,2007,339
1,0.002061728,2007,338
1,0.023423582,2007,344
1,0.007666204,2007,385
1,0.012495086,2007,385
1,0.004684421,2007,338
1,0.000780731,2007,338
1,0.000780725,2007,338
1,0.001561753,2007,375
1,0.000780856,2007,371
1,0.000780872,2007,375
1,0.000780718,2007,338
1,0.000727997,2007,372
1,0.000780863,2007,375
1,0.002342795,2007,386
1,0.000780859,2007,375
1,0.001561713,2007,375
1,0.012493475,2007,372
1,0.006832311,2007,345
1,0.090061596,2007,338
1,0.001561401,2007,338
1,0.000780921,2007,386
1,0.001561396,2007,338
1,0.003904244,2007,375
1,0.001235529,2007,375
1,0.001561835,2007,386
1,0.000780844,2007,375
1,0.000682258,2007,387
1,0.002342519,2007,374
1,0.008627227,2007,372
1,0.000780835,2007,374
1,0.001561664,2007,374
1,0.00152337,2007,337
1,0.001561651,2007,374
1,0.000780815,2007,372
1,0.052276476,2007,372
1,0.001561646,2007,374
1,0.00078082,2007,374
1,0.000780899,2007,387
1,0.000780818,2007,374
1,0.000931827,2007,372
1,0.000780664,2007,337
1,0.0195167,2007,337
1,0.020221726,2007,374
1,0.000780786,2007,372
1,0.001561753,2007,387
1,0.000780874,2007,387
1,0.010150122,2007,372
1,0.000780872,2007,387
